ref,name,official_name,distance
Т-07-11,Чепа – Пийтерфолво,Чепа — Пийтерфолво,6.9
Т-07-12,Перечин – М-06,Перечин — /М-06 /,50.3
Т-07-14,Шом – Горонглаб – контрольно-пропускний пункт “Дзвінкове”,Шом  — Горонглаб  — контрольно-пропускний пункт “Дзвінкове”,9
Т-07-18,Нижні Ворота – Воловець – Міжгір’я,Нижні Ворота —  Воловець — Міжгір’я,44.6
Т-07-19,Іршава – Виноградів,Іршава —  Виноградів,23.9
Т-07-20,Міжгір’я – Синевир,Міжгір’я — Синевир,15.5
Т-07-24,Синевир – Синевирська Поляна,Синевир — Синевирська Поляна,14
Т-07-37,Хуст – Шаян – Вишково – Буштино,Хуст — Шаян — Вишково — Буштино,18.9
Т-08-04,Кам’янка-Дніпровська – Велика Лепетиха – Каховка,Кам’янка-Дніпровська — Велика Лепетиха — Каховка,110.4
Т-08-05,Кам’янка-Дніпровська – Велика Білозерка – Веселе – М-14,Кам’янка-Дніпровська — Велика Білозерка — Веселе — /М-14/,109.9
Т-08-10,Велика Білозерка – Михайлівка – М-18,Велика Білозерка — Михайлівка — /М-18/,50.3
Т-08-11,Веселе – М-18,Веселе — /М-18/,35.8
Т-08-12,М-18 – Лугове – Оріхів,/М-18/ — Лугове — Оріхів,36.7
Т-08-13,Токмак – Чернігівка,Токмак — Чернігівка,31
Т-08-14,Т-04-08 – Омельник – Гуляйполе,/Т-04-08/ — Омельник — Гуляйполе,27
Т-08-15,Оріхів – Пологи,Оріхів — Пологи,27.4
Т-08-17,Р-37 – Веселе,/Р-37/ — Веселе,40.8
Т-08-18,Василівка – Михайлівка,Василівка — Михайлівка,15.1
Т-08-19,Кам’янка – М-14,Кам’янка — /М-14/,51.1
Т-08-20,Якимівка – Кирилівка,Якимівка — Кирилівка,41.4
Т-08-21,Н-30 – Приморськ,/Н-30/ — Приморськ,35.7
Т-09-02,Креховичі – Дзвиняч,Креховичі — Дзвиняч,46.5
Т-09-04,Озеряни – Кути,Озеряни — Кути,72.4
Т-09-05,Делятин – Раківчик,Делятин — Раківчик,27.9
Т-09-06,Івано-Франківськ – Надвірна,Івано-Франківськ — Надвірна,65.8
Т-09-07,Залуква – Боднарів,Залуква — Боднарів,18.6
Т-09-08,Тлумач – Лісна Тарновиця,Тлумач — Лісна Тарновиця,46.3
Т-09-09,Підкамінь – Княгиничі,Підкамінь — Княгиничі,8.7
Т-10-01,Ворзель – Забуччя – М-06,Ворзель — Забуччя — /М-06/,12.7
Т-10-02,Демидів – Гостомель,Демидів — Гостомель,16.8
Т-10-04,М-01 – Рудня – Гоголів – Бориспіль,/М-01/ — Рудня — Гоголів — Бориспіль,45
Т-10-05,Іванків – М-07,Іванків — /М-07/,45.3
Т-10-06,Глеваха – Підгірці,Глеваха — Підгірці,14.2
Т-10-07,Обуховичі – Ставрівка,Обуховичі — Ставрівка,8.1
Т-10-08,Київ – Літочки – Кіпті,Київ — Літочки — Кіпті,87.6
Т-10-09,Узин – М-05,Узин — /М-05/,21.6
Т-10-10,Рокитне – Узин,Рокитне — Узин,15.2
Т-10-12,Київ – Боярка,Київ — Боярка,10.7
Т-10-13,Фастів – Кожанка – Фурси – Яблунівка – Володарка,Фастів — Кожанка — Фурси — Яблунівка — Володарка,74.2
Т-10-14,Тетіїв – П’ятигори – М-05,Тетіїв — П’ятигори — /М-05/,31
Т-10-16,Київ – Ревне – Рогозів,Київ — Ревне — Рогозів,38
Т-10-17,Миронівка – Ольшаниця – Рокитне – Р-04,Миронівка — Ольшаниця — Рокитне — /Р-04/,49.5
Т-10-18,Бориспіль – Березань – Яготин,Бориспіль — Березань — Яготин,51.4
Т-10-19,Феневичі – Бородянка – Макарів – Бишів,Феневичі — Бородянка — Макарів — Бишів,65.8
Т-10-21,Тараща – Ставище,Тараща — Ставище,28.5
Т-10-22,Миронівка – Богуслав – Р-04,Миронівка — Богуслав — /Р-04/,36.5
Т-10-23,Васильків – Глеваха,Васильків — Глеваха,2.8
Т-10-25,Баришівка – М-03 – Переяслав,Баришівка — /М-03/ — Переяслав,42.1
Т-10-27,Київське півкільце,Київське півкільце,4.6
Т-10-32,Переяслав – М-03,Переяслав — /М-03/,19.6
Т-10-35,Р-02 – станція Вільча – контрольно-пропускний пункт “Вільча – Олександрівка”,/Р-02/ — станція Вільча — контрольно-пропускний пункт “Вільча — Олександрівка”,17.6
Т-10-37,Іванків – Городище,Іванків — Городище,3.1
Т-12-01,Кропивницький – Каніж – Новомиргород,Кропивницький — Каніж — Новомиргород,51.8
Т-12-02,М-30 – заповідник “Хутір Надія” – М-13,/М-30/ — заповідник “Хутір Надія” — /М-13/,13.5
Т-12-03,М-22 – Павлиш – Онуфріївка – Млинок – Н-08,/М-22/ — Павлиш — Онуфріївка — Млинок —     /Н-08/,30.4
Т-12-04,Долинська – Новошевченкове – Н-23,Долинська — Новошевченкове — /Н-23/,18.8
Т-12-05,Кропивницький – Нова Прага – Олександрія,Кропивницький — Нова Прага — Олександрія,58.8
Т-12-06,Новоархангельськ – Петроострів – Новомиргород,Новоархангельськ — Петроострів — Новомиргород,81.8
Т-12-08,Пушкове – Вільшанка – Добровеличківка,Пушкове — Вільшанка — Добровеличківка,52
Т-12-09,Новомиргород – Олександрівка,Новомиргород — Олександрівка,48.9
Т-12-10,Устинівка – Долинська – Петрове – Жовті Води,Устинівка — Долинська — Петрове — Жовті Води,107.2
Т-12-11,Знам’янка – Подорожнє,Знам’янка — Подорожнє,50.6
Т-12-12,Новомиргород – Велика Виска,Новомиргород — Велика Виска,21
Т-12-14,Новоархангельськ – Добровеличківка – Миколаївка,Новоархангельськ — Добровеличківка — Миколаївка,81.1
Т-12-15,Глинськ – Олександрія – Петрове,Глинськ — Олександрія — Петрове,71.5
Т-12-16,Компаніївка – Устинівка,Компаніївка — Устинівка,43.5
Т-12-17,Олександрівка – Бурякове – Р-10,Олександрівка — Бурякове — /Р-10/,30.8
Т-12-18,Новгородка – станція Шарівка – Нова Прага,Новгородка — станція Шарівка — Нова Прага,38
Т-12-21,Кропивницький – Рівне,Кропивницький — Рівне,43.3
Т-12-22,Новоукраїнка – межа Миколаївської області з під’їздом до санаторію “Гусарське Урочище”,Новоукраїнка — межа Миколаївської області з під’їздом до санаторію “Гусарське Урочище”,23.5
Т-12-23,Івангород – Розумівка – Кримки,Івангород — Розумівка — Кримки,19.2
Т-13-01,Луганськ – Георгіївка з під’їздом до аеропорту “Луганськ”,Луганськ — Георгіївка з під’їздом до аеропорту “Луганськ”,16.1
Т-13-02,Контрольно-пропускний пункт “Танюшівка” – Старобільськ – Бахмут,Контрольно-пропускний пункт “Танюшівка” — Старобільськ — Бахмут,163
Т-13-03,Успенка – Антрацит,Успенка — Антрацит,32.8
Т-13-05,Довжанськ – Криничне – М-03,Довжанськ — Криничне — /М-03/,23.6
Т-13-06,Сєвєродонецьк – Новоайдар,Сєвєродонецьк — Новоайдар,37.1
Т-13-07,Сватове – Новопсков – Мілове,Сватове — Новопсков — Мілове,164.3
Т-13-08,Старобільськ – Марківка,Старобільськ — Марківка,54.3
Т-13-09,Щастя – Широкий,Щастя — Широкий,37.3
Т-13-10,Лутугине – Сорокине,Лутугине — Сорокине,41.2
Т-13-11,Довжанськ – контрольно-пропускний пункт “Вознесенівка”,Довжанськ — контрольно-пропускний пункт “Вознесенівка”,10.8
Т-13-12,Сорокине – Антрацит,Сорокине — Антрацит,62.3
Т-13-13,Троїцьке – Білокуракине – Старобільськ,Троїцьке — Білокуракине — Старобільськ,111.4
Т-13-14,Контрольно-пропускний пункт “Просяне” – Біловодськ – Широкий,Контрольно-пропускний пункт “Просяне” — Біловодськ — Широкий,93.8
Т-13-15,Райгородка – Слов’яносербськ – Михайлівка,Райгородка — Слов’яносербськ — Михайлівка,56.2
Т-13-16,Під’їзд до м. Первомайська,Під’їзд до м. Первомайська,13.3
Т-13-17,Під’їзд до м. Голубівки,Під’їзд до м. Голубівки,14
Т-13-18,Біле – Лутугине,Біле — Лутугине,18.2
Т-13-19,Перевальськ – Іванівка,Перевальськ — Іванівка,27.9
Т-13-20,Георгіївка – Ровеньки – М-03,Георгіївка — Ровеньки — /М-03/,48.9
Т-13-21,Білолуцьк – контрольно-пропускний пункт “Новобіла”,Білолуцьк — контрольно-пропускний пункт “Новобіла”,19
Т-14-01,Контрольно-пропускний пункт “Смільниця” – Старий Самбір,Контрольно-пропускний пункт “Смільниця” — Старий Самбір,29.9
Т-14-02,Східниця – Пісочна,Східниця — Пісочна,54.1
Т-14-03,Грушів – Немирів,Грушів — Немирів,12.8
Т-14-04,Червоноград – Рава-Руська,Червоноград — Рава-Руська,51.7
Т-14-06,Славське – Вигода,Славське — Вигода,22.3
Т-14-07,Тухля – Плав’я,Тухля — Плав’я,16.1
Т-14-08,Угринів – Хоробрів,Угринів — Хоробрів,7.8
Т-14-10,Броди – Червоноград,Броди — Червоноград,81.8
Т-14-11,Корчин – Дубина,Корчин — Дубина,4.3
Т-14-12,Турка – Східниця,Турка — Східниця,38.9
Т-14-13,Верхнє Синьовидне – Дубина – Кам’янка,Верхнє Синьовидне — Дубина — Кам’янка,15.4
Т-14-14,Північний об’їзд м. Львова,Північний об’їзд м. Львова,5.6
Т-14-15,Мостиська – Самбір – Борислав,Мостиська — Самбір — Борислав,67.2
Т-14-16,Львів – Пустомити – Меденичі,Львів — Пустомити — Меденичі,48.8
Т-14-17,Куровичі – Рогатин,Куровичі — Рогатин,42.8
Т-14-18,Нижанковичі – Самбір – Дрогобич – Стрий,Нижанковичі — Самбір — Дрогобич — Стрий,95.6
Т-14-20,Яворів – Грушів,Яворів — Грушів,19.3
Т-14-21,Київ – Чоп – Сколе,/Київ — Чоп/ — Сколе,3.5
Т-14-23,Бориня – Мохнате,Бориня — Мохнате,30.3
Т-14-24,Сколе – Славське,Сколе — Славське,23.3
Т-15-03,Обхід м. Нової Одеси,Обхід м. Нової Одеси,13.8
Т-15-04,Первомайськ – Новоукраїнка,Первомайськ — Новоукраїнка,59.3
Т-15-06,Миколаїв – Доманівка – Берізки,Миколаїв — Доманівка — Берізки,173
Т-15-07,Миколаїв – Парутине – Очаків – база відпочинку “Чорноморка”,Миколаїв — Парутине — Очаків — база відпочинку “Чорноморка”,72.8
Т-15-08,Калинівка – Снігурівка,Калинівка — Снігурівка,44.8
Т-15-10,Н-24 – Арбузинка – Єланець – Нова Одеса,/Н-24/ — Арбузинка — Єланець — Нова Одеса,115.1
Т-15-13,Нечаяне – Очаків,Нечаяне — Очаків,37
Т-15-15,Федорівка – Рибаківка – база відпочинку “Лугове”,Федорівка — Рибаківка — база відпочинку “Лугове”,25.1
Т-16-06,Контрольно-пропускний пункт “Виноградівка” – Болград – М-15,Контрольно-пропускний пункт “Виноградівка” — Болград — /М-15/,48.8
Т-16-07,Ізмаїл – Кілія – Вилкове,Ізмаїл — Кілія — Вилкове,68.9
Т-16-08,Болград – Кубей – Арциз,Болград — Кубей — Арциз,80.2
Т-16-09,Н-33 – Сухий Лиман – М-27,/Н-33/ — Сухий Лиман — /М-27/,7.5
Т-16-10,Н-33 – Приморське – Жовтий Яр – Татарбунари,/Н-33/ — Приморське — Жовтий Яр — Татарбунари,81.9
Т-16-11,Контрольно-пропускний пункт “Олексіївка” – Кодима – Балта,Контрольно-пропускний пункт “Олексіївка” — Кодима — Балта,62.5
Т-16-14,Контрольно-пропускний пункт “Йосипівка” – Захарівка – Ширяєве – М-05,Контрольно-пропускний пункт “Йосипівка” — Захарівка — Ширяєве — /М-05/,60.6
Т-16-15,Контрольно-пропускний пункт “Великоплоске” – Новопетрівка – Цебрикове – Знам’янка – Березівка,Контрольно-пропускний пункт “Великоплоске” — Новопетрівка — Цебрикове — Знам’янка — Березівка,125
Т-16-17,М-05 – Іванівка,/М-05/ — Іванівка,12.4
Т-16-18,Р-33 – Роздільна – Єреміївка – М-05,/Р-33/ — Роздільна — Єреміївка — /М-05/,36.3
Т-16-19,Біляївка – станція Вигода,Біляївка — станція Вигода,20.9
Т-16-22,Кодима – Слобідка – Подільськ,Кодима — Слобідка — Подільськ,49.1
Т-16-23,Ананьїв – Троїцьке – Березівка – Вікторівка,Ананьїв — Троїцьке — Березівка — Вікторівка,100.8
Т-16-25,Контрольно-пропускний пункт “Кучурган” – Біляївка – Маяки – Овідіополь,Контрольно-пропускний пункт “Кучурган” — Біляївка — Маяки — Овідіополь,74.3
Т-16-27,Контрольно-пропускний пункт “Серпневе” – Тарутине – Арциз – Сарата,Контрольно-пропускний пункт “Серпневе” — Тарутине — Арциз — Сарата,73.5
Т-16-28,М-15 – Спаське – Вилкове,/М-15/ — Спаське — Вилкове,44.5
Т-16-30,Струмок – Шевченкове – Кілія,Струмок — Шевченкове — Кілія,32.5
Т-16-31,Контрольно-пропускний пункт “Табаки” – Болград – М-15,Контрольно-пропускний пункт “Табаки” — Болград — /М-15/,36.8
Т-16-32,Контрольно-пропускний пункт “Нові Трояни” – Кубей,Контрольно-пропускний пункт “Нові Трояни” — Кубей,22.8
Т-16-34,Великоплоске – Слов’яносербка – кордон Молдови,Великоплоске — Слов’яносербка — кордон Молдови,11
Т-16-37,Подільськ – Федорівка – М-13,Подільськ — Федорівка — /М-13/,17.1
Т-16-38,Контрольно-пропускний пункт “Станіславка” – Станіславка – Мурована,Контрольно-пропускний пункт “Станіславка” — Станіславка — Мурована,20.3
Т-16-40,Миколаївка – Андрієво-Іванівка – Настасіївка – М-05,Миколаївка — Андрієво-Іванівка — Настасіївка — /М-05/,36.1
Т-16-42,М-15 – контрольно-пропускний пункт “Долинське”,/М-15/ — контрольно-пропускний пункт “Долинське”,8.7
Т-16-43,Кордон Молдови – Фараонівка – Сарата – Дивізія – Т-16-10,Кордон Молдови — Фараонівка — Сарата — Дивізія — /Т-16-10/,71.8
Т-16-44,Контрольно-пропускний пункт “Лісне” – контрольно-пропускний пункт “Малоярославець Перший”,Контрольно-пропускний пункт “Лісне” — контрольно-пропускний пункт “Малоярославець Перший”,59.9
Т-16-47,Н-33 – Кароліно-Бугаз – Грибівка – Санжійка – М-27,/Н-33/ — Кароліно-Бугаз — Грибівка — Санжійка — /М-27/,25.1
Т-17-03,Н-08 – Недогарки – Світловодськ,/Н-08/ — Недогарки — Світловодськ,7.4
Т-17-05,Лохвиця – Гадяч – Охтирка – контрольно-пропускний пункт “Велика Писарівка”,Лохвиця — Гадяч — Охтирка — контрольно-пропускний пункт “Велика Писарівка”,163
Т-17-06,Гадяч – Опішня,Гадяч — Опішня,61.1
Т-17-16,Хорол – Семенівка – Кременчук (через с. Бочки),Хорол — Семенівка — Кременчук (через с. Бочки),88
Т-17-18,Диканька – Решетилівка,Диканька — Решетилівка,53
Т-17-24,Вирішальне – Залізняки – Комишня,Вирішальне — Залізняки  — Комишня,18.7
Т-17-28,Зіньків – Т-17-05 – межа області,Зіньків — /Т-17-05/ — межа області,14.3
Т-17-29,Об’їзна дорога с-ща Котельва,Об’їзна дорога с-ща Котельва,10.8
Т-18-01,Рівне – Здолбунів – Мізоч – Дубно,Рівне — Здолбунів — Мізоч — Дубно,47.6
Т-18-02,М-07 – Маюничі – Велика Осниця – Красноволя – Колки – Р-14 – Копилля – Рожище – Торчин – Шклинь – Н-17,/М-07/ — Маюничі — Велика Осниця — Красноволя — Колки — /Р-14/ — Копилля — Рожище — Торчин — Шклинь — /Н-17/,120.3
Т-18-04,Корець – Славута – Антоніни,Корець — Славута — Антоніни,110.2
Т-18-06,Рівне – Млинів – Берестечко – Буськ – Перемишляни,Рівне — Млинів — Берестечко — Буськ — Перемишляни,176.2
Т-18-08,Зарічне – Борове – Стара Рафалівка – Полиці,Зарічне — Борове — Стара Рафалівка — Полиці,89.8
Т-18-09,Переброди – Дубровиця – Володимирець – Суховоля,Переброди — Дубровиця — Володимирець — Суховоля,91.3
Т-18-10,Дубровиця – Любиковичі – Сарни,Дубровиця — Любиковичі — Сарни,23.9
Т-18-11,Клесів – Михалин – Березне – Н-25,Клесів — Михалин — Березне — /Н-25/,62.9
Т-18-12,Немовичі – Березне – Великі Межирічі – Федорівка,Немовичі — Березне — Великі Межирічі — Федорівка,94
Т-18-13,Демидівка – Велика Городниця – Олика,Демидівка — Велика Городниця — Олика,58.8
Т-18-14,Рокитне – М-07,Рокитне — /М-07/,3.3
Т-18-15,Дубно – Млинів – Т-18-13,Дубно — Млинів — /Т-18-13/,28.5
Т-18-16,Східний під’їзд до м. Радивилова,Східний під’їзд до м. Радивилова,4.5
Т-18-17,Бережниця – Степань – Деражне – Клевань – М-06,Бережниця — Степань — Деражне — Клевань — /М-06/,125.5
Т-18-18,Будки-Кам’янські – Рокитне – Клесів – М-07,Будки-Кам’янські — Рокитне — Клесів — /М-07/,100.3
Т-18-19,Соснове – Маринин,Соснове — Маринин,8.2
Т-18-20,Кунин – Зелений Дуб,Кунин — Зелений Дуб,26.8
Т-18-21,Верба – Онишківці,Верба — Онишківці,14.4
Т-18-22,Онишківці – Стара Миколаївка,Онишківці — Стара Миколаївка,13.8
Т-18-23,Удрицьк – Жадень,Удрицьк — Жадень,6.5
Т-18-24,Дерманка – Корець – М-06,Дерманка — Корець — /М-06/,29
Т-18-25,Дермань Перша – Дермань Друга,Дермань Перша — Дермань Друга,8.5
Т-18-26,Степань – Н-25,Степань — /Н-25/,22.8
Т-18-27,Костопіль – Яполоть,Костопіль — Яполоть,16.6
Т-18-28,Корчів’я – Іваничі – Берестовець,Корчів’я — Іваничі — Берестовець,9.9
Т-18-29,Вежиця – Рокитне – Борове,Вежиця — Рокитне — Борове,97.5
Т-18-30,Рівне – Тайкури – Оженин,Рівне — Тайкури — Оженин,25.4
Т-18-31,М-06 – Бугрин – Оженин – Острог,/М-06/— Бугрин — Оженин — Острог,30.3
Т-18-32,Н-22 – Ходоси – Кустин – Н-25,/Н-22/ — Ходоси — Кустин — /Н-25/,20.8
Т-18-33,Познань – Т-18-29,Познань — /Т-18-29/,8.3
Т-19-01,Суми – Миропілля – Осоївка – Р-45,Суми — Миропілля — Осоївка — /Р-45/,58.1
Т-19-04,Білопілля – Терни – Липова Долина – межа Сумської області,Білопілля — Терни — Липова Долина — межа Сумської області,87.8
Т-19-06,Контрольно-пропускний пункт “Рижівка” – Білопілля – Миколаївка – Лебедин – Лантратівка,Контрольно-пропускний пункт “Рижівка” — Білопілля — Миколаївка — Лебедин — Лантратівка,121.4
Т-19-07,Шостка – Кролевець,Шостка — Кролевець,35
Т-19-08,Шостка – Зноб-Новгородське – Середина-Буда,Шостка — Зноб-Новгородське — Середина-Буда,83.5
Т-19-09,Суми – Лебедин,Суми — Лебедин,40.9
Т-19-10,Конотоп – Буринь – Чумакове,Конотоп — Буринь — Чумакове,43.7
Т-19-11,Мутин – Путивль,Мутин — Путивль,31.2
Т-19-12,Шостка – Ямпіль,Шостка — Ямпіль,19.7
Т-19-13,Ромни – Липова Долина – Тростянець – Мезенівка,Ромни — Липова Долина — Тростянець — Мезенівка,146.2
Т-19-14,Хмелів – Чернеча Слобода – Буринь,Хмелів — Чернеча Слобода — Буринь,46.8
Т-19-15,Контрольно-пропускний пункт “Середина-Буда” – Ямпіль – Береза,Контрольно-пропускний пункт “Середина-Буда” — Ямпіль — Береза,63.7
Т-19-18,Краснопілля – контрольно-пропускний пункт “Покровка”,Краснопілля — контрольно-пропускний пункт “Покровка”,16.6
Т-19-19,Буринь – Воскресенка – Суховерхівка – Терни,Буринь — Воскресенка — Суховерхівка — Терни,20.9
Т-19-20,Путивль – Линове – Нова Слобода з під’їздом до Сафроніївського монастиря,Путивль — Линове — Нова Слобода з під’їздом до Сафроніївського монастиря,21.8
Т-19-21,Путивль – Шалигине – Заруцьке,Путивль — Шалигине — Заруцьке,39.5
Т-19-22,Путивль – Кардаші – Спадщанський ліс,Путивль — Кардаші — Спадщанський ліс,8
Т-19-23,Тростянець – Ницаха – Солдатське – Р-45,Тростянець — Ницаха — Солдатське — /Р-45/,31.2
Т-19-24,Середина-Буда – Стара Гута – Василівка,Середина-Буда — Стара Гута — Василівка,24.4
Т-19-25,Конотоп – Соснівка,Конотоп — Соснівка,4
Т-19-26,Штепівка – Катеринівка – Степове – заповідник “Михайлівська Цілина” – Тимченки – Кушніри,Штепівка — Катеринівка — Степове  — заповідник  “Михайлівська Цілина” — Тимченки — Кушніри,34
Т-19-27,Чернеччина – Журавне,Чернеччина — Журавне,10.5
Т-19-28,Н-12 – Лутище – Куземин,/Н-12/ — Лутище — Куземин,10.4
Т-19-29,Охтирка – Бакирівка,Охтирка — Бакирівка,9.9
Т-19-30,Т-17-05 – Добрянське,/Т-17-05 / — Добрянське,4.4
Т-19-31,Велика Писарівка – Олександрівка – Т-17-05,Велика Писарівка — Олександрівка — /Т-17-05/,5.9
Т-19-32,Н-12 – Зарічне,/Н-12/ — Зарічне,3.2
Т-20-01,Бучач – Чортків – Скала-Подільська,Бучач — Чортків — Скала-Подільська,68.3
Т-20-02,Тернопіль – Скалат – Жванець,Тернопіль — Скалат — Жванець,175.4
Т-20-04,Бережани – Підгайці – Монастириська,Бережани — Підгайці — Монастириська,47.5
Т-20-05,Бучач – Нижнів,Бучач — Нижнів,32.8
Т-20-06,Городище – Зарваниця – Бучач,Городище — Зарваниця — Бучач,55.5
Т-20-07,Бережани – Нараїв – Брюховичі,Бережани — Нараїв — Брюховичі,18
Т-20-08,Шумськ – Великі Дедеркали – Н-02,Шумськ — Великі Дедеркали — /Н-02/,16
Т-20-09,Вишнівець – Ланівці,Вишнівець — Ланівці,24.6
Т-20-10,Збараж – Підволочиськ,Збараж — Підволочиськ,40.2
Т-20-11,Копичинці – Гусятин,Копичинці — Гусятин,18.7
Т-20-12,Ланівці – Лисогірка – Теофіполь,Ланівці — Лисогірка — Теофіполь,25.5
Т-20-13,Почаїв – Зборів,Почаїв — Зборів,57.1
Т-20-14,Підволочиськ – Скалат,Підволочиськ — Скалат,24.4
Т-20-15,Борщів – Заліщики,Борщів — Заліщики,36.1
Т-20-16,Бучач – Товсте,Бучач — Товсте,37.9
Т-20-17,Гримайлів – Яблунів,Гримайлів — Яблунів,23.9
Т-20-18,Зборів – Козова,Зборів — Козова,26.7
Т-20-19,М-30 (Кам’янки) – Скалат,/М-30/ (Кам’янки) — Скалат,14
Т-20-20,М-19 (Мишковичі) – Дружба,/М-19/ (Мишковичі) — Дружба,9.8
Т-21-01,М-18 – Мерефа – Зміїв,/М-18/ — Мерефа — Зміїв,20.3
Т-21-03,Харків – Золочів – контрольно-пропускний пункт “Олександрівка”,Харків — Золочів — контрольно-пропускний пункт “Олександрівка”,53.7
Т-21-04,Харків – Вовчанськ – контрольно-пропускний пункт “Чугунівка”,Харків — Вовчанськ — контрольно-пропускний пункт “Чугунівка”,116.9
Т-21-06,М-03 – Старий Мерчик – Мурафа – Краснокутськ,/М-03/ — Старий Мерчик — Мурафа — Краснокутськ,52.1
Т-21-08,Вовчанськ – контрольно-пропускний пункт “Плетенівка”,Вовчанськ — контрольно-пропускний пункт “Плетенівка”,8.7
Т-21-10,Шевченкове – Балаклія – Первомайський – Кегичівка,Шевченкове  — Балаклія  — Первомайський  — Кегичівка,134.2
Т-21-11,Чугуїв – Печеніги – Великий Бурлук,Чугуїв  — Печеніги  — Великий Бурлук,65
Т-21-12,Пересічне – Березівське – М-03 з під’їздом до санаторію “Березівські мінеральні води”,Пересічне  — Березівське  — /М-03/ з під’їздом до санаторію “Березівські мінеральні води”,6.9
Т-21-13,Золочів – Максимівка,Золочів  — Максимівка,33.4
Т-21-14,Приколотне – Великий Бурлук – Дворічна,Приколотне  — Великий Бурлук  — Дворічна,47.4
Т-21-15,Гусарівка – Грушуваха,Гусарівка — Грушуваха,33.7
Т-21-16,М-03 – Коломак – Шелестове – Колонтаїв,/М-03/ — Коломак — Шелестове — Колонтаїв,38.1
Т-21-17,Дергачі – Козача Лопань – М-20,Дергачі — Козача Лопань — /М-20/,31.2
Т-21-18,Кегичівка – Сахновщина,Кегичівка — Сахновщина,25
Т-21-19,Наталине – Зачепилівка – Перещепине,Наталине — Зачепилівка — Перещепине,46.8
Т-21-20,Зачепилівка – Андріївка – Кегичівка – Старовірівка – М-18,Зачепилівка — Андріївка — Кегичівка — Старовірівка  — /М-18/,97.2
Т-21-21,Лозова – Близнюки – Барвінкове – Велика Комишуваха,Лозова — Близнюки — Барвінкове — Велика Комишуваха,82.4
Т-21-22,Ізюм – Барвінкове,Ізюм — Барвінкове,29.7
Т-21-23,Межа Харківської області – Краснокутськ – Р-46,Межа Харківської області — Краснокутськ —     /Р-46/,50.4
Т-22-01,Білозерка – Херсон,Білозерка — Херсон,3.1
Т-22-02,Нова Каховка – Армянськ,Нова Каховка — Армянськ,76.2
Т-22-07,Т-04-03 – Високопілля – Велика Олександрівка – Берислав,/Т-04-03 /— Високопілля — Велика Олександрівка — Берислав,126.9
Т-22-08,Т-08-04 – Верхній Рогачик – Нижні Сірогози,/Т-08-04/ — Верхній Рогачик — Нижні Сірогози,65.6
Т-22-09,Велика Лепетиха – Іванівка – Генічеськ,Велика Лепетиха — Іванівка — Генічеськ,136.9
Т-22-10,Нова Каховка – М-17,Нова Каховка — /М-17/,48
Т-22-13,М-17 – Скадовськ,/М-17/ — Скадовськ,31.6
Т-22-14,Під’їзд до м. Каховки,Під’їзд до м. Каховки,3.7
Т-22-15,Під’їзд до аеропорту “Херсон”,Під’їзд до аеропорту “Херсон”,2.8
Т-22-16,Гола Пристань – Залізний Порт,Гола Пристань — Залізний Порт,53.8
Т-23-02,Чернелівка – Городок – Смотрич,Чернелівка — Городок — Смотрич,92.7
Т-23-03,Дунаївці – Грушка,Дунаївці — Грушка,33
Т-23-05,Хмельницький – Віньківці – Дашківці,Хмельницький — Віньківці — Дашківці,63.4
Т-23-06,Шепетівка – Старокостянтинів,Шепетівка — Старокостянтинів,47
Т-23-09,Шепетівка – Чуднів – Бердичів,Шепетівка — Чуднів — Бердичів,112.3
Т-23-10,Голосків – Деражня – Лука-Барська,Голосків — Деражня — Лука-Барська,48.7
Т-23-11,Хмельницький – Волочиськ,Хмельницький — Волочиськ,59.6
Т-23-12,Гусятин – Городок,Гусятин — Городок,31.3
Т-23-13,Кам’янка – Шепетівка,Кам’янка — Шепетівка,46.5
Т-23-14,Теофіполь – Красилів – Н-03,Теофіполь — Красилів — /Н-03/,63.4
Т-23-15,Солобківці – Нова Ушиця,Солобківці — Нова Ушиця,53.1
Т-23-16,Маниківці – Деражня,Маниківці — Деражня,17.6
Т-23-17,Кам’янець-Подільський – Стара Ушиця,Кам’янець-Подільський — Стара Ушиця,43.8
Т-23-18,Старий Остропіль – Вовковинці,Старий Остропіль — Вовковинці,83.2
Т-23-19,Стара Синява – Меджибіж – М-30,Стара Синява — Меджибіж — /М-30/,28.8
Т-23-20,М-30 – Волочиськ – Підволочиськ,/М-30/ — Волочиськ — Підволочиськ,16.4
Т-23-21,Ярмолинці – Кам’янець-Подільський,Ярмолинці — Кам’янець-Подільський,55.1
Т-23-24,Старокостянтинів – Антоніни,Старокостянтинів — Антоніни,24.6
Т-23-25,Кам’янець-Подільський – Устя,Кам’янець-Подільський — Устя,10
Т-23-26,Старокостянтинів – Шрубків,Старокостянтинів — Шрубків,36.3
Т-24-01,Городище – Шпола – Новоукраїнка – Бобринець – Устинівка,Городище — Шпола — Новоукраїнка — Бобринець — Устинівка,201.4
Т-24-02,Суботів – Медведівка – Кам’янка,Суботів — Медведівка — Кам’янка,43.3
Т-24-03,Орадівка – Христинівка – Жашків – Корсунь-Шевченківський – Мошни,Орадівка — Христинівка — Жашків — Корсунь-Шевченківський — Мошни,179.6
Т-24-04,Канів – Ліпляве – Прохорівка – Домантове – Н-08,Канів — Ліпляве — Прохорівка — Домантове —  /Н-08/,45.3
Т-24-05,Жашків – Буки – Озірна,Жашків — Буки — Озірна,66
