ref,name,official_name,distance
Р-05,Контрольно-пропускний пункт “Дитятки” – контрольно-пропускний пункт “Прип’ять”,Контрольно-пропускний пункт “Дитятки” — контрольно-пропускний пункт “Прип’ять”,41.6
Р-06,Контрольно-пропускний пункт “Чорнобиль” – контрольно-пропускний пункт “Овруч”,Контрольно-пропускний пункт “Чорнобиль” — контрольно-пропускний пункт “Овруч”,64.5
Р-08,Немирів – Ямпіль,Немирів — Ямпіль,119.8
Р-09,Миронівка – Канів,Миронівка — Канів,39.5
Р-10,Р-09 – Черкаси – Чигирин – Кременчук,/Р-09/ — Черкаси — Чигирин — Кременчук,164.5
Р-11,Полтава – Красноград,Полтава — Красноград,52.1
Р-14,Луцьк – Ківерці – Маневичі – Любешів – Дольськ,Луцьк — Ківерці — Маневичі — Любешів — Дольськ,154.2
Р-15,Ковель – Володимир – Червоноград – Жовква,Ковель — Володимир — Червоноград — Жовква,146.5
Р-16,Під’їзди до спецоб’єктів в Автономній Республіці Крим,Під’їзди до спецоб’єктів в Автономній Республіці Крим,86
Р-17,Біла Церква – Тетіїв – Липовець – Гуменне – М-30,Біла Церква — Тетіїв — Липовець — Гуменне — /М-30/,158.2
Р-18,Житомир – Попільня – Сквира – Володарка – Ставище,Житомир — Попільня — Сквира — Володарка — Ставище,153.6
Р-19,Фастів – Митниця – Обухів – Ржищів,Фастів — Митниця — Обухів — Ржищів,91.7
Р-20,Тязів – Снятин – Косів – Старі Кути,Тязів — Снятин — Косів — Старі Кути,160.6
Р-21,Долина – Хуст,Долина — Хуст,128.1
Р-22,Контрольно-пропускний пункт “Красна Талівка” – Луганськ,Контрольно-пропускний пункт “Красна Талівка” — Луганськ,55.9
Р-23,Сімферополь – Феодосія,Сімферополь — Феодосія,109.6
Р-24,Татарів – Косів – Коломия – Борщів – Кам’янець-Подільський,Татарів — Косів — Коломия — Борщів — Кам’янець-Подільський,251.7
Р-25,Сімферополь – Євпаторія,Сімферополь — Євпаторія,53
Р-26,Острог – Кременець,Острог — Кременець,72.9
Р-27,Севастополь – Інкерман,Севастополь — Інкерман,38.5
Р-29,Алушта – Судак – Феодосія,Алушта — Судак — Феодосія,121.3
Р-30,Під’їзд до м. Ірпеня,Під’їзд до м. Ірпеня,7.1
Р-31,Бердичів – Хмільник – М-30,Бердичів — Хмільник — /М-30/,81.3
Р-33,Вінниця – Турбів – Гайсин – Балта – Велика Михайлівка – М-16,Вінниця — Турбів — Гайсин — Балта — Велика Михайлівка — /М-16/,359.4
Р-34,Ялта – Алушта,Ялта — Алушта,77.4
Р-35,Грушівка – Судак,Грушівка — Судак,20.2
Р-36,Немирів – Могилів-Подільський,Немирів — Могилів-Подільський,105.3
Р-37,Енергодар – Василівка,Енергодар — Василівка,70.3
Р-38,Богородчани – Гута,Богородчани — Гута,36.4
Р-39,Броди – Тернопіль,Броди — Тернопіль,72.3
Р-40,Рава-Руська – Яворів – Судова Вишня,Рава-Руська — Яворів — Судова Вишня,54.8
Р-41,Об’їзд м. Тернополя,Об’їзд м. Тернополя,14.5
Р-42,Лубни – Миргород – Опішня – Н-12,Лубни — Миргород — Опішня — /Н-12/,122.1
Р-43,М-19 – Ланівці – Н-02,/М-19/ — Ланівці — /Н-02/,56.2
Р-44,Суми – Путивль – Глухів,Суми — Путивль — Глухів,131.2
Р-45,Суми – Краснопілля – Богодухів,Суми — Краснопілля — Богодухів,104.1
Р-46,Харків – Охтирка,Харків — Охтирка,102.8
Р-47,Херсон – Нова Каховка – Генічеськ,Херсон — Нова Каховка — Генічеськ,213.4
Р-48,Р-24 – Сатанів – Війтівці – Білогір’я – Р-26,/Р-24/— Сатанів — Війтівці — Білогір’я — /Р-26/,184.9
Р-49,Васьковичі – Шепетівка,Васьковичі — Шепетівка,162
Р-50,Ярмолинці – Сатанів,Ярмолинці — Сатанів,48
Р-51,Мерефа – Лозова – Павлоград,Мерефа — Лозова — Павлоград,158.5
Р-53,Контрольно-пропускний пункт “Малий Березний” – Малий Березний,Контрольно-пропускний пункт “Малий Березний” — Малий Березний,3.1
Р-54,Саврань – Дубинове – М-05,Саврань — Дубинове — /М-05/,148.6
Р-55,М-14 – Вознесенськ – Новий Буг,/М-14/ — Вознесенськ — Новий Буг,207
Р-56,Чернігів – Пакуль – контрольно-пропускний пункт “Славутич” – Чорнобиль,Чернігів — Пакуль — контрольно-пропускний пункт “Славутич” — Чорнобиль,59.5
Р-57,Олешки – Гола Пристань – Скадовськ,Олешки — Гола Пристань — Скадовськ,82.6
Р-58,Севастополь – порт “Камишова бухта”,Севастополь — порт “Камишова бухта”,8.2
Р-59,Під’їзд до спецоб’єктів м. Севастополя,Під’їзд до спецоб’єктів м. Севастополя,2.9
Р-60,Кролевець – Конотоп – Ромни – Пирятин,Кролевець — Конотоп — Ромни — Пирятин,215.8
Р-61,Батурин – Конотоп – Суми,Батурин — Конотоп — Суми,146.2
Р-62,Криворівня – Усть-Путила – Старі Кути – Вижниця – Сторожинець – Чернівці,Криворівня — Усть-Путила — Старі Кути — Вижниця — Сторожинець — Чернівці,111.1
Р-63,Н-03 – Вартиківці – контрольно-пропускний пункт “Сокиряни”,/Н-03/ — Вартиківці —  контрольно-пропускний пункт “Сокиряни”,88.5
Р-64,Моринці – Шевченкове – Тарасівка – Н-16,Моринці — Шевченкове — Тарасівка — /Н-16/,81.1
Р-65,Контрольно-пропускний пункт “Миколаївка” – Семенівка – Новгород-Сіверський – Глухів – контрольно-пропускний пункт “Катеринівка”,Контрольно-пропускний пункт “Миколаївка” — Семенівка — Новгород-Сіверський — Глухів — контрольно-пропускний пункт “Катеринівка”,126
Р-66,Контрольно-пропускний пункт “Демино-Олександрівка” – Сватове – Лисичанськ – Луганськ,Контрольно-пропускний пункт “Демино-Олександрівка” — Сватове — Лисичанськ — Луганськ,231.5
Р-67,Чернігів – Ніжин – Прилуки – Пирятин,Чернігів — Ніжин — Прилуки — Пирятин,183.8
Р-68,Сокиринці – Н-07,Сокиринці — /Н-07/,94.4
Р-69,Київ – Вишгород – Десна – Чернігів,Київ — Вишгород — Десна — Чернігів,135.6
Р-71,Одеса – Іванівка – Ананьїв – Піщана – Хащувате – Колодисте – Рижавка – М-05,Одеса — Іванівка — Ананьїв — Піщана — Хащувате — Колодисте — Рижавка — /М-05/,274.1
Р-72,Контрольно-пропускний пункт “Старокозаче” – Білгород-Дністровський,Контрольно-пропускний пункт “Старокозаче” — Білгород-Дністровський,32.4
Р-73,Н-08 – Нікополь,/Н-08/ — Нікополь,63.1
Р-75,Контрольно-пропускний пункт “Тимкове” – Балта – Первомайськ – Доманівка – Олександрівка,Контрольно-пропускний пункт “Тимкове” — Балта — Первомайськ — Доманівка — Олександрівка,186.3
Р-76,Контрольно-пропускний пункт “Прикладники” – Зарічне – Дубровиця,Контрольно-пропускний пункт “Прикладники” — Зарічне — Дубровиця,80.5
Р-77,Рівне – Тучин – Гоща – Н-25,Рівне — Тучин — Гоща — /Н-25/,65.2
Р-78,Харків – Зміїв – Балаклія – Гороховатка,Харків — Зміїв — Балаклія — Гороховатка,134
Р-79,М-18 – Сахновщина – Ізюм – Куп’янськ – контрольно-пропускний пункт “Піски”,/М-18/ — Сахновщина — Ізюм — Куп’янськ — контрольно-пропускний пункт “Піски”,277.4
Р-81,Казанка – Снігурівка – Р-47,Казанка — Снігурівка  — /Р-47/,133.9
Р-82,Сосниця – Короп – М-02,Сосниця — Короп — /М-02/,71.9
Р-83,Славутич – Любеч – Ріпки – М-01 – Городня – Н-28 – Сновськ – Корюківка – Семенівка – Костобобрів – Чайкине – Н-27,Славутич — Любеч — Ріпки — /М-01/ — Городня — /Н-28/ — Сновськ — Корюківка — Семенівка — Костобобрів — Чайкине — /Н-27/,264.3
Р-84,Бібрка – Кам’янка-Бузька – Жовква – Городок – Миколаїв – Жидачів – Калуш – Бурштин,Бібрка — Кам’янка-Бузька — Жовква — Городок — Миколаїв — Жидачів — Калуш — Бурштин,278.8
