ref,official_name,name,distance,district,localities
С-02-19-06,Антонівка - Рожнятівка,Антонівка – Рожнятівка,6.5,Тульчинський район,Томашпільська селищна
С-02-19-07,Антонівка - Вила,Антонівка – Вила,4.3,Тульчинський район,Томашпільська селищна
С-02-19-08,Жолоби - Паланка,Жолоби – Паланка,6.569,Тульчинський район,Томашпільська селищна
С-02-19-09,Вапнярка - Паланка,Вапнярка – Паланка,0.4,Тульчинський район,Томашпільська селищна
С-02-19-10,(Немирів – Ямпіль) -Вапнярка через Колоденку,Р-08 – Колоденка – Вапнярка,4.725,Тульчинський район,Вапнярська селищна
С-02-19-11,Гнатків – Яланець -Нетребівка,Гнатків – Яланець – Нетребівка,14.0,Тульчинський район,Томашпільська селищна
С-02-19-12,Вапнярка - Залізничників,Вапнярка – Залізничників,3.201,Тульчинський район,Вапнярська селищна
С-02-19-13,Комаргород – Антопіль - Марківка,Комаргород – Антопіль – Марківка,13.149,Тульчинський район,"Томашпільська селищна,
Вапнярська селищна"
С-02-19-14,Комаргород – Паланка - Горишківка,Комаргород – Паланка – Горишківка,14.4,Тульчинський район,Томашпільська селищна
С-02-19-15,(Немирів – Ямпіль) -Кислицьке,Р-08 – Кислицьке,1.329,Тульчинський район,Томашпільська селищна
С-02-19-16,(Горишківка – Томашпіль – Нетребівка) - Олександрівка,О-02-19-05 – Олександрівка,4.88,Тульчинський район,Томашпільська селищна
С-02-19-17,(Немирів – Ямпіль) -Липівка,Р-08 – Липівка,2.0,Тульчинський район,Томашпільська селищна
О-02-20-01,Тростянчик - Теплик (через Глибочок),Тростянчик – Глибочок – Теплик,40.076,Гайсинський район,"Тростянецька селищна,
Соболівська сільська,
Теплицька селищна"
О-02-20-02,Капустяни - Ободівка,Капустяни – Ободівка,22.6,Гайсинський район,Тростянецька селищна
О-02-20-03,Савинці – Вільшанка - Велика Кісниця,Савинці – Вільшанка – Велика Кісниця,71.348,Гайсинський - Тульчинський –Могилів-Подільський район,"Тростянецька селищна,
Крижопільська селищна,
Городківська сільська,
Ямпільська міська"
О-02-20-04,Тростянець –Торканівка - Павлівка,Тростянець – Торканівка – Павлівка,29.2,Гайсинський район,"Тростянецька селищна,
Ободівська сільська"
С-02-20-01,Тростянець - Велика Стратіївка,Тростянець – Велика Стратіївка,1.995,Гайсинський район,Тростянецька селищна
С-02-20-02,(Тростянець –Торканівка) - Верхівське,О-02-20-04 – Верхівське,1.2,Гайсинський район,Ободівська сільська
С-02-20-03,Красногірка - Ілляшівка,Красногірка – Ілляшівка,7.7,Гайсинський район,Тростянецька селищна
С-02-20-04,(Красногірка – Ілляшівка) - Підлісне,С-02-20-03 – Підлісне,1.7,Гайсинський район,Тростянецька селищна
С-02-20-05,Савинці – Китайгород - Куниче,Савинці – Китайгород – Куниче,5.7,Гайсинський район,Тростянецька селищна
С-02-20-06,Гордіївка - Митківка,Гордіївка – Митківка,1.5,Гайсинський район,Тростянецька селищна
С-02-20-07,Буди - Дубина Верхівська,Буди – Дубина Верхівська,4.7,Гайсинський район,Тростянецька селищна
С-02-20-08,Ладижин - Ладижинські Хутори,Ладижин – Ладижинські Хутори,3.76,Гайсинський район,Ладижинська міська
С-02-20-09,Губник – Ружицьке -Ладижин,Губник – Ружицьке – Ладижин,6.4,Гайсинський район,Ладижинська міська
С-02-20-10,Довжок - Зелений Довжок,Довжок – Зелений Довжок,3.6,Гайсинський район,Тростянецька селищна
С-02-20-11,(Тульчин – Тростянець –Бершадь) - Северинівка,Т-02-22 – Северинівка,1.587,Гайсинський район,Тростянецька селищна
С-02-20-12,Тростянчик - Митківка,Тростянчик – Митківка,5.2,Гайсинський район,Тростянецька селищна
С-02-20-13,Лукашівка -Четвертинівка,Лукашівка – Четвертинівка,12.961,Гайсинський район,"Ладижинська міська,
Тростянецька селищна"
С-02-20-14,(Вінниця – Турбів –Гайсин – Балта - Велика Михайлівка) - Злагода,Р-33 – Злагода,5.412,Гайсинський район,Тростянецька селищна
