ref,official_name,name,distance,district,localities
С-02-24-11,Бабчинці - Гамулівка,Бабчинці – Гамулівка,7.64,Могилів-Подільський район,Бабчинецька сільська
С-02-24-12,(Вендичани – Чернівці –Томашпіль) - Степок,О-02-12-04 – Степок,2.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-13,(Вендичани – Чернівці –Томашпіль) - Вишневе,О-02-12-04 – Вишневе,1.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-14,Саїнка - Пелинівка,Саїнка – Пелинівка,2.981,Могилів-Подільський район,Чернівецька селищна
С-02-24-15,(Чернівці – Весняне) - Скалопіль,С-02-24-22 – Скалопіль,1.35,Могилів-Подільський район,Чернівецька селищна
С-02-24-16,(Чернівці – Букатинка) - Лозове,О-02-24-03 – Лозове,1.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-17,Весняне - Вила Ярузькі,Весняне – Вила Ярузькі,5.0,Могилів-Подільський район,Бабчинецька сільська
С-02-24-18,Йосипівка - Біляни,Йосипівка – Біляни,13.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-19,Сокіл - Бабчинці,Сокіл – Бабчинці,9.128,Могилів-Подільський район,"Чернівецька селищна,
Бабчинецька сільська"
С-02-24-20,Березівка – Володіївці - Саїнка,Березівка – Володіївці – Саїнка,11.88,Могилів-Подільський район,Чернівецька селищна
С-02-24-21,Березівка - Саїнка,Березівка – Саїнка,11.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-22,Чернівці - Весняне,Чернівці – Весняне,10.1,Могилів-Подільський район,Чернівецька селищна
О-02-25-01,Чечельник - Кодима,Чечельник – Кодима,15.42,Гайсинський район,Чечельницька селищна
О-02-25-02,Чечельник - Стратіївка,Чечельник – Стратіївка,8.44,Гайсинський район,"Чечельницька селищна,
Ольгопільська сільська"
О-02-25-03,Чечельник - Білий Камінь,Чечельник – Білий Камінь,7.89,Гайсинський район,Чечельницька селищна
С-02-25-01,Вербка - Василівка,Вербка – Василівка,4.4,Гайсинський район,Чечельницька селищна
С-02-25-02,Рогізка - Тарасівка,Рогізка – Тарасівка,4.4,Гайсинський район,Чечельницька селищна
С-02-25-03,(Вінниця – Турбів –Гайсин – Балта - Велика Михайлівка) - Ольгопіль,Р-33 – Ольгопіль,0.5,Гайсинський район,Ольгопільська сільська
С-02-25-04,(Чечельник – Кодима) - Анютине,О-02-25-01 – Анютине,1.5,Гайсинський район,Чечельницька селищна
С-02-25-05,Попова Гребля -Новоукраїнка,Попова Гребля – Новоукраїнка,6.3,Гайсинський район,Чечельницька селищна
С-02-25-06,Кривецьке - САТ Чечельницьке,Кривецьке – САТ Чечельницьке,1.9,Гайсинський район,Чечельницька селищна
С-02-25-07,Білий Камінь -Бондурівка,Білий Камінь – Бондурівка,11.15,Гайсинський район,Чечельницька селищна
С-02-25-08,Вербка - Куренівка,Вербка – Куренівка,6.42,Гайсинський район,Чечельницька селищна
С-02-25-09,Вербка - Бритавка,Вербка – Бритавка,9.5,Гайсинський район,Чечельницька селищна
С-02-25-10,Білий Камінь - Рогізка,Білий Камінь – Рогізка,5.885,Гайсинський район,Чечельницька селищна
С-02-25-11,Ольгопіль - Любомирка,Ольгопіль – Любомирка,6.76,Гайсинський район,Ольгопільська сільська
О-02-26-01,Шаргород - Конищів,Шаргород – Конищів,9.0,Жмеринський район,Шаргородська міська
О-02-26-02,Шаргород -Перепільчинці,Шаргород – Перепільчинці,13.93,Жмеринський район,Шаргородська міська
О-02-26-05,Слобода Шаргородська –Тропове - Яришів,Слобода Шаргородська – Тропове – Яришів,50.9,Жмеринський - Могилів-Подільський район,"Шаргородська міська,
Вендичанська селищна,
Яришівська сільська"
О-02-26-06,Мурафа – Деребчин -Томашпіль,Мурафа – Деребчин – Томашпіль,39.892,Жмеринський – Тульчинський район,"Мурафська сільська,
Джуринська сільська,
Томашпільська селищна"
О-02-26-07,Мурафа – Моївка -Клембівка,Мурафа – Моївка – Клембівка,57.21,Жмеринський – Могилів-Подільський район,"Мурафська сільська,
Джуринська сільська,
Чернівецька селищна,
Бабчинецька сільська,
Ямпільська міська"
О-02-26-08,Джурин - Рожнятівка,Джурин – Рожнятівка,7.1,Жмеринський район,Джуринська сільська
С-02-26-01,Мовчани - Пасинки,Мовчани – Пасинки,4.9,Жмеринський район,Шаргородська міська
С-02-26-02,Станція Ярошенка -Бабина Долина,Станція Ярошенка – Бабина Долина,0.7,Жмеринський район,Мурафська сільська
С-02-26-03,Шаргород - Поляна,Шаргород – Поляна,1.9,Жмеринський район,Шаргородська міська
С-02-26-04,Слобода Шаргородська - Будне,Слобода Шаргородська – Будне,3.94,Жмеринський район,Шаргородська міська
С-02-26-05,(Слобода Шаргородська – Будне) - Грелівка,С-02-26-04 – Грелівка,0.9,Жмеринський район,Шаргородська міська
С-02-26-06,Лозова - Писарівка,Лозова – Писарівка,13.7,Жмеринський район,Шаргородська міська
С-02-26-07,(Мурафа – Моївка –Клембівка) - Довжок,О-02-26-07 – Довжок,2.47,Жмеринський район,Мурафська сільська
С-02-26-08,(Сапіжанка –Покутино –Калитинка – Політанки) - Лісничівка,С-02-26-25 – Лісничівка,1.8,Жмеринський район,Шаргородська міська
С-02-26-09,Клекотина - дитячий табір,Клекотина – дитячий табір,1.6,Жмеринський район,Мурафська сільська
С-02-26-10,Козлівка - Мальовниче,Козлівка – Мальовниче,1.218,Жмеринський район,Шаргородська міська
С-02-26-11,Борівське - Лукашівка,Борівське – Лукашівка,4.0,Жмеринський район,Шаргородська міська
С-02-26-12,Борівське - Кропивня,Борівське – Кропивня,3.2,Жмеринський район,Шаргородська міська
С-02-26-13,Рахни Лісові - Городок,Рахни Лісові – Городок,3.12,Тульчинський район,Шпиківська селищна
С-02-26-14,Юліямпіль -Юліямпільське,Юліямпіль – Юліямпільське,8.94,Тульчинський район,Шпиківська селищна
С-02-26-15,Голинчинці -Синьожупанники,Голинчинці – Синьожупанники,3.0,Жмеринський район,Джуринська сільська
С-02-26-16,Нові Хоменки - Калитинка,Нові Хоменки – Калитинка,10.127,Жмеринський район,Джуринська сільська
С-02-26-17,(Немирів - Могилів-Подільський) – Писарівка - Дубинки,Р-36 – Писарівка – Дубинки,1.0,Жмеринський район,Шаргородська міська
С-02-26-18,Копистирин - Пеньківка,Копистирин – Пеньківка,17.955,Жмеринський район,"Шаргородська міська,
Мурафська сільська"
С-02-26-19,Калинівка - Соснівка,Калинівка – Соснівка,5.153,Жмеринський район,Шаргородська міська
С-02-26-20,Копистирин - Мурафа,Копистирин – Мурафа,9.0,Жмеринський район,"Шаргородська міська,
Мурафська сільська"
С-02-26-21,Соснівка - Гибалівка,Соснівка – Гибалівка,3.4,Жмеринський район,Шаргородська міська
С-02-26-22,Івашківці - Конатківці,Івашківці – Конатківці,4.666,Жмеринський район,Шаргородська міська
С-02-26-23,Юхимівка - Деребчин,Юхимівка – Деребчин,11.462,Жмеринський район,"Мурафська сільська,
Джуринська сільська"
С-02-26-24,Деребчин - Ярове,Деребчин – Ярове,19.32,Жмеринський – Тульчинський район,"Джуринська сільська,
Шпиківська селищна"
С-02-26-25,Сапіжанка – Покутино –Калитинка - Політанки,Сапіжанка – Покутино – Калитинка – Політанки,15.227,Жмеринський район,"Джуринська сільська,
Шаргородська міська"
С-02-26-26,(Вороновиця – Тиврів – Шаргород) - Козлівка,О-02-03-05 – Козлівка,2.55,Жмеринський район,Шаргородська міська
С-02-26-27,Стрільники -Лопатинці,Стрільники – Лопатинці,9.45,Тульчинський район,Шпиківська селищна
С-02-26-28,(Немирів - Могилів-Подільський) - Писарівка,Р-36 – Писарівка,4.3,Жмеринський район,Шаргородська міська
С-02-26-29,Мурафа - Михайлівка,Мурафа – Михайлівка,6.8,Жмеринський район,Мурафська сільська
О-02-27-03,Качківка – Дзигівка -Михайлівка,Качківка – Дзигівка – Михайлівка,41.9,Могилів-Подільський район,Ямпільська міська
С-02-27-01,Безводне - Прилужне,Безводне – Прилужне,2.37,Могилів-Подільський район,Ямпільська міська
С-02-27-02,Дзигівка - Дзюброве,Дзигівка – Дзюброве,5.0,Могилів-Подільський район,Ямпільська міська
С-02-27-03,(Могилів-Подільський –Ямпіль – Бершадь – Умань) -Улянівка,Т-02-02 – Улянівка,2.0,Могилів-Подільський район,Ямпільська міська
С-02-27-04,(Могилів-Подільський –Ямпіль – Бершадь – Умань) - Франківка,Т-02-02 – Франківка,1.95,Могилів-Подільський район,Ямпільська міська
С-02-27-05,(Могилів-Подільський –Ямпіль – Бершадь – Умань) - Добрянка,Т-02-02 – Добрянка,1.21,Могилів-Подільський район,Ямпільська міська
С-02-27-06,(Качківка – Дзигівка – Михайлівка) -Хмелівщина,О-02-27-03 – Хмелівщина,2.3,Могилів-Подільський район,Ямпільська міська
С-02-27-07,Русава - Писарівка,Русава – Писарівка,6.854,Могилів-Подільський район,Ямпільська міська
С-02-27-08,Під'їзд до с.Нечуївка,Під'їзд до с.Нечуївка,1.285,Могилів-Подільський район,Ямпільська міська
С-02-27-09,(Ямпіль - Велика Кісниця) - Іванків,T-02-15 – Іванків,1.7,Могилів-Подільський район,Ямпільська міська
С-02-27-10,Придністрянське -Підлісівка,Придністрянське – Підлісівка,5.08,Могилів-Подільський район,Ямпільська міська
С-02-27-11,(Савинці – Вільшанка - Велика Кісниця) - Довжок,О-02-20-03 – Довжок,4.5,Могилів-Подільський район,Ямпільська міська
С-02-27-12,Буша - Слобода Бушанська,Буша – Слобода Бушанська,3.141,Могилів-Подільський район,Ямпільська міська
С-02-27-13,(Могилів-Подільський – Ямпіль – Бершадь –Умань) - Біла,Т-02-02 – Біла,1.81,Могилів-Подільський район,Ямпільська міська
С-02-27-14,(Могилів-Подільський –Ямпіль – Бершадь – Умань) - Оксанівка,Т-02-02 – Оксанівка,3.06,Могилів-Подільський район,Ямпільська міська
С-02-27-15,(Могилів –Подільський – Ямпіль – Бершадь –Умань) - Качківка,Т-02-02 – Качківка,2.3,Могилів-Подільський район,Ямпільська міська
С-02-27-16,Гальжбіївка - Буша,Гальжбіївка – Буша,10.505,Могилів-Подільський район,Ямпільська міська
С-02-27-17,Довжок - Франківка,Довжок – Франківка,16.46,Могилів-Подільський район,Ямпільська міська
С-02-27-18,Русава - а/д Т-02-18,Русава – Т-02-18,5.588,Могилів-Подільський район,Ямпільська міська
С-02-27-19,Ямпіль - станція Ямпіль,Ямпіль – станція Ямпіль,1.44,Могилів-Подільський район,Ямпільська міська
С-02-27-20,Клембівка - Ратуш,Клембівка – Ратуш,6.472,Могилів-Подільський район,Ямпільська міська
С-02-27-21,Безводне - Лаврівка,Безводне – Лаврівка,23.08,Могилів-Подільський район,Ямпільська міська
С-02-27-22,(Лука Барська – Біликівці – Жмеринка – Ямпіль) - Гальжбіївка,Т-02-18 – Гальжбіївка,1.942,Могилів-Подільський район,Ямпільська міська
С-02-27-23,Дорошівка –Тростянець - Гонорівка,Дорошівка – Тростянець – Гонорівка,15.95,Могилів-Подільський район,Ямпільська міська
С-02-27-24,(Могилів-Подільський –Ямпіль – Бершадь – Умань) - Пороги,Т-02-02 – Пороги,4.916,Могилів-Подільський район,Ямпільська міська
С-02-27-25,Северинівка - Слобода Підлісівська,Северинівка – Слобода Підлісівська,3.3,Могилів-Подільський район,Ямпільська міська
С-02-27-26,Качківка - Ратуш,Качківка – Ратуш,8.4,Могилів-Подільський район,Ямпільська міська
