ref,official_name,name,distance
С040909,Головкове – Христофорівка,Головкове – Христофорівка,3.16
С040910,Сорочине – Звізда – Павлопілля,Сорочине – Звізда – Павлопілля,8.34
С040911,Лебединське – Змагання,Лебединське – Змагання,8.66
С040912,Максимівка – Олександропіль,Максимівка – Олександропіль,5.47
С040913,Веселе – Бекетівка – Чистопіль,Веселе – Бекетівка – Чистопіль,11.87
С040914,Високопіль – /Новоселівка – Чистопіль – Новоіванівка/,Високопіль – О040902,4.98
С040915,Миронівка – Шолохове,Миронівка – Шолохове,11.4
С040916,/Високе – Чкалове/ – Східне,О040906 – Східне,2.27
С040917,Західне – /Високе – Чкалове/,Західне – О040906,1.61
С040918,Старозаводське – Приміське,Старозаводське – Приміське,08.02
С040919,/Н-23/ – Мусіївка,Н-23 – Мусіївка,2.31
С040920,Чортомлик – /Н-23/,Чортомлик – Н-23,1.62
С040921,/Н-23/ – Олексіївка,Н-23 – Олексіївка,4.783
С040922,Під’їзд до с. Лукіївка,Під’їзд до с. Лукіївка,04.01
С040923,Під’їзд до с. Водяне,Під’їзд до с. Водяне,2
С040924,Під’їзд до с. Капулівка,Під’їзд до с. Капулівка,1.25
С041001,/Т-04-10/ – Хуторо-Губиниха – Мар’янівка,Т-04-10 – Хуторо-Губиниха – Мар’янівка,15.96
С041002,Затишне – /Малоандріївка – /Т-04-13//,Затишне – О040707,2.42
С041003,Миколаївка – Губиниха,Миколаївка – Губиниха,11.257
С041004,Мирне – /Новомосковськ – Королівка/,Мирне – О041002,3.43
С041005,/Новомосковськ – Королівка – цегельний завод/ – /М18/,О041002 – М-18,3.486
С041006,Свічанівка – /Вишневе – Перещепинський елеватор – /М-18//,Свічанівка – С041007,0.882
С041007,Вишневе – Перещепинський елеватор – /М-18/,Вишневе – Перещепинський елеватор – М-18,7.59
С041008,База відпочинку – Піщанка,База відпочинку – Піщанка,4.4
С041009,Миролюбівка – /М-18/,Миролюбівка – М-18,6.8
С041010,Стара слобода – Орлівщина,Стара слобода – Орлівщина,2.36
С041011,/М-18/ – ЛТО Хащеве,М-18 – ЛТО Хащеве,7.196
С041012,Голубівка – Гнатівка,Голубівка – Гнатівка,13.95
С041013,Ягідне – /М-18/,Ягідне – М-18,4.16
С041014,Р-п “Поляна” – Знаменівка – /М-04/,Р-п “Поляна” – Знаменівка – М-30,8.59
С041015,Рівне – Багате,Рівне – Багате,4.8
С041016,Комбікормовий завод – /М-18/,Комбікормовий завод – М-18,1.43
С041017,Перещепине – Олександрія,Перещепине – Олександрія,3.48
С041018,Миролюбівка – Голубівка,Миролюбівка – Голубівка,4.27
С041019,Веселе – /Павлоград – Надеждівка – Голубівка/,Веселе – Т-04-22,1.2
С041020,Хутір Ілліча – Попасне,Хутір Ілліча – Попасне,3.8
С041021,/Павлоград – Надеждівка – Голубівка/ – Івано-Михайлівка,Т-04-22 – Івано-Михайлівка,9.32
С041022,Губининський елеватор – /Т-04-13/,Губининський елеватор – Т-04-13,0.381
С041023,Губиниха – Мар’янівка,Губиниха – Мар’янівка,10.91
С041024,//Т-04-10/ – Хуторо-Губиниха – Мар’янівка/ – Новоскотувате,С041001 – Новоскотувате,5.5
С041025,//Т-04-10/ – Хуторо-Губиниха – Марьянівка/ – Скотувате,С041001 – Скотувате,1.38
С041026,База відпочинку – Орлівщина – Піщанка,База відпочинку – Орлівщина – Піщанка,9.791
С041027,КСП “Україна” – /М-04/,КСП “Україна” – М-30,4.66
С041028,Новотроїцьке – з-д Мінводи – /М-04/,Новотроїцьке – завод Мінводи – М-30,05.05
С041029,Перещепинський інкубатор – /Т-04-12/,Перещепинський інкубатор – Т-04-12,0.6
С041030,Піщанка – Новоселівка – Соколове,Піщанка – Новоселівка – Соколове,16.293
С041031,Під’їзд до бурякоприймального пункта,Під’їзд до бурякоприймального пункта,1.52
С041032,Під’їзд до с. Тарасівка,Під’їзд до с. Тарасівка,0.967
С041033,Під’їзд до СГЦ,Під’їзд до СГЦ,0.85
С041034,Під’їзд до с. Воскресенівка,Під’їзд до с. Воскресенівка,1.4
С041101,Підлісне – /Новов’язівське – Кочережки – Булахівка – /М-04//,Підлісне – Т-04-22,1.7
С041102,Межиріч – Новоселівське,Межиріч – Новоселівське,1.66
С041103,Новомиколаївське – /ДОТ – Вербки – Степ – Нова Русь/,Новомиколаївське – О041103,7.74
С041104,Карабинівка – /М-04/,Карабинівка – М-30,1.4
С041105,Миколаївка Друга – Кохівка,Миколаївка Друга – Кохівка,3.58
С041106,Червона Нива – Межиріч,Червона Нива – Межиріч,2.97
С041107,/М-04/ – Червона Долина,М-30 – Червона Долина,0.92
С041108,//М-04/ – Козачий Гай/ – Лиманське,Т-04-26 – Лиманське,2.15
С041109,/М-04/ – Дачне,М-30 – Дачне,16.23
С041110,Богуслав – /М-04/,Богуслав – М-30,1.224
С041111,Тернівка – КСП “Павлоградський”,Тернівка – КСП “Павлоградський”,2.2
С041112,//М-04/ – Дачне/ – Домаха,С041112 – Домаха,3.86
С041113,/Петропавлівка – Сонцеве – Богданівка/ – Мерцалівка,С041113 – Мерцалівка,0.978
С041114,Під’їзд до с. Новоолександрівське,Під’їзд до с. Новоолександрівське,4.6
С041115,Під’їзд до с. Богданівка,Під’їзд до с. Богданівка,0.8
С041201,Плавещина – /Т-04-12/,Плавещина – Т-04-12,4.59
С041202,/Петриківка – Шульгівка/ – Судівка,С041202 – Судівка,6.19
С041203,Чаплинка – Улянівка,Чаплинка – Улянівка,10.99
С041204,Кулішеве – /Т-04-14/,Кулішеве – Т-04-14,8
С041205,КСП ім.Суворова – Петриківка – Сотницьке,КСП ім.Суворова – Петриківка – Сотницьке,8.53
С041206,Іванівка – Радісне – /Т-04-12/,Іванівка – Радісне – Т-04-12,17.74
С041207,/Петриківка – Шульгівка/ – Гречане,С041207 – Гречане,3.52
С041208,Улянівка – /Дніпро – Хутірське/,Улянівка – Т-04-05,1.87
С041209,Під’їзд до с. Шульгівка,Під’їзд до с. Шульгівка,3.41
С041210,Під’їзд до АБЗ райавтодору,Під’їзд до АБЗ райавтодору,1.11
С041301,Водяне – Хороше – Шевченкове,Водяне – Хороше – Шевченкове,28.08
С041302,Бажани – /М-04/,Бажани – М-30,1.8
С041303,Мар’їна Роща – Петрівка – /Петропавлівка – Сонцеве – Богданівка/,Мар’їна Роща – Петрівка – О041302,16.6
С041304,Олександрівка – Богинівка,Олександрівка – Богинівка,4.165
С041305,Старий Колодязь – /Петропавлівка – Олександропіль – Веселе/,Старий Колодязь – Т-04-24,9.515
С041306,Осадче – Олександропіль,Осадче – Олександропіль,6.328
С041307,/Веселе – Олександропіль – Петропавлівка/ – Самарське,Т-04-24 – Самарське,1.33
С041308,Озерне – /Веселе – Олександропіль – Петропавлівка/,Озерне – Т-04-24,1.63
С041309,Олександропіль – Мар’янка,Олександропіль – Мар’янка,19
С041310,Новоселівка – Зелений Гай,Новоселівка – Зелений Гай,3.3
С041311,Товсте – Успенівка,Товсте – Успенівка,1.61
С041312,Вереміївка – Василівка,Вереміївка – Василівка,2.7
С041313,/Олександропіль – Мар’янка/ – Новохорошевське,С041313 – Новохорошевське,9.96
С041314,Хороше – Причепилівка,Хороше – Причепилівка,1.83
С041315,Нововербське – Богдано-Вербки,Нововербське – Богдано-Вербки,6.78
С041316,Зелений Гай – /Петропавлівка – Сонцеве – Богданівка/,Зелений Гай – С041316,1.78
С041317,Запоріжжя – Русакове – Васильківське,Запоріжжя – Русакове – Васильківське,9
С041318,Під’їзд до АФ “Нібас”,Під’їзд до АФ “Нібас”,1.3
С041319,Об’їзд с. Троїцьке,Об’їзд с. Троїцьке,1.26
С041320,Під’їзд до с. Васюківка,Під’їзд до с. Васюківка,2.4
С041321,Під’їзд до с. Троїцьке,Під’їзд до с. Троїцьке,1.7
С041322,Під’їзд до хім. складів,Під’їзд до хім. складів,1.4
С041323,Під’їзд до с. Новопричепилівка,Під’їзд до с. Новопричепилівка,1.5
С041324,Під’їзд до ХПП с. Дмитрівка,Під’їзд до ХПП с. Дмитрівка,1
С041401,Покровське – ХПП,Покровське – ХПП,0.51
С041402,Садове – Зарічне,Садове – Зарічне,4.16
С041403,/Н-15/ – Чорненкове,Н-15 – Чорненкове,4.533
С041404,Вільне – Андріївка,Вільне – Андріївка,6.43
