ref,official_name,name,distance
С041810,Явдохівка – /Т-04-19/,Явдохівка – Т-04-19,1.3
С041811,/Братське – Софіївка – /Н-11// – Т-04-19,О041803 – Т-04-19,1.54
С041812,/Братське – Софіївка – /Н–11// – /Софіївка – Володимирівка – Непереможне/,О041803 – С041801,1.5
С041813,/Братське – Софіївка – /Н-11// – комбікормовий завод,О041803 – комбікормовий завод,0.97
С041814,Нововітебське – Нові Ковна,Нововітебське – Нові Ковна,6.3
С041815,Михайлівка – Петрове – Братська Могила,Михайлівка – Петрове – Братська Могила,10.1
С041816,Новоподільське – /Т-04-19/,Новоподільське – Т-04-19,5.7
С041817,Жовте – Миколаївка,Жовте – Миколаївка,15.532
С041818,Нововасилівка – Тернуватка,Нововасилівка – Тернуватка,8
С041819,Назарівка – /Т-04-32/,Назарівка – Т-04-32,5.9
С041821,Нова Зоря – Олександрівка,Нова Зоря – Олександрівка,10.3
С041822,Любе – /Софіївка – Перше Травня – станція Милорадове/,Любе – О041801,1.3
С041823,/Н-11/ – Любимівка – /Н-11/,Н-11 – Любимівка – Н-11,1.8
С041824,/Н-11/ – /Софіївка – Володимирівка – Непереможне/,Н-11 – С041824,7
С041825,Широке – Тарасівка,Широке – Тарасівка,4.3
С041826,Трудолюбівка – /Н-11/,Трудолюбівка – Н-11,4.15
С041827,Петрівка – /Т-04-32/,Петрівка – Т-04-32,1.43
С041828,/Н-11/ – Новопетрівка,Н-11 – Новопетрівка,2.6
С041829,Кам’янка – Ізлучисте,Кам’янка – Ізлучисте,4.8
С041830,Українка – Петропавлівка,Українка – Петропавлівка,6.3
С041831,Під’їзд до с. Олексіївка,Під’їзд до с. Олексіївка,01.02
С041832,/Т-04-34/ – Сергіївка,Т-04-34 – Сергіївка,0.755
С042001,Царичанка – Лисківка – Калинівка – Прядівка,Царичанка – Лисківка – Калинівка – Прядівка,16.05
С042002,Дашківка – Рибалки – Китайгород,Дашківка – Рибалки – Китайгород,12.455
С042003,Щербинівка – Рудка,Щербинівка – Рудка,5.8
С042004,Селянівка – Дубове – Турове,Селянівка – Дубове – Турове,7.31
С042005,Дубове – Турове,Дубове – Турове,2.9
С042006,Івано-Яризівка – Вербове,Івано-Яризівка – Вербове,2.4
С042007,/Михайлівка – Бабайківка – Івано-Яризівка/ – Кущівка,О042003 – Кущівка,2.108
С042008,/Михайлівка – Бабайківка – Івано-Яризівка/ – Преображенка,О042003 – Преображенка,5.611
С042009,Могилів – Новопідкряж,Могилів – Новопідкряж,5.64
С042010,Гнатівка – Червона Орілька – Михайлівка,Гнатівка – Червона Орілька – Михайлівка,6
С042011,Рудка – Цибульківка – Єгорине,Рудка – Цибульківка – Єгорине,10.3
С042012,Бабайківка – /Михайлівка – Бабайківка – Івано-Яризівка/,Бабайківка – О042003,2.049
С042013,Ненадівка – Юр’ївка,Ненадівка – Юр’ївка,4.585
С042014,Семенівка – /Ненадівка – Юр’ївка/,Семенівка – С042013,2.3
С042015,Заорілля – /Гнатівка – Червона Орілька – Михайлівка/,Заорілля – С042010,1.375
С042016,Андріївка – Залелія – Ляшківка – Рибалки,Андріївка – Залелія – Ляшківка – Рибалки,24.59
С042017,Лозуватка – Помазанівка,Лозуватка – Помазанівка,3.25
С042018,Ляшківка – Назаренки – Шарівка,Ляшківка – Назаренки – Шарівка,4.25
С042019,Китайгород – Цибульківка – Молодіжне,Китайгород – Цибульківка – Молодіжне,19.65
С042020,Новопідкряж – Супина – /Н-31/,Новопідкряж – Супина – Н-31,6
С042021,Під’їзд до с. Рибалки,Під’їзд до с. Рибалки,2.1
С042022,Під’ їзд до с. Могилів,Під’ їзд до с. Могилів,2.37
С042023,Під’їзд до с. Могилів-2,Під’їзд до с. Могилів-2,2.32
С042101,Широке – Лісгосп,Широке – Лісгосп,3.21
С042102,Новомалинівка – //Н-11/ – аеропорт/,Новомалинівка – С042102,2.56
С042103,Мирне – Інгулець,Мирне – Інгулець,15.74
С042104,Розівка – ІнГЗК,Розівка – ІнГЗК,11.45
С042105,Новомалинівка – Зелений Став – Широка Долина – Зелене,Новомалинівка – Зелений Став – Широка Долина – Зелене,19.25
С042106,Шведове – //Н-11/ – аеропорт/,Шведове – О042104,1.76
С042107,Явдотівка – Карпівка,Явдотівка – Карпівка,10.9
С042108,Веселий Став – Андріївка,Веселий Став – Андріївка,6.37
С042109,Новокурське – /Широке – Шестірня – Заградівка/,Новокурське – Т-04-47,4.21
С042110,Радевичеве – /Широке – Шестірня – Заградівка/,Радевичеве – Т-04-47,02.03
С042111,/Широке – Шестірня – Заградівка/ – Надія,Т-04-47 – Надія,2.39
С042112,Червоний Ранок – /Н-11/,Червоний Ранок – Н-11,4.79
С042113,/Н-11/ – Макарівка,Н-11 – Макарівка,1.43
С042114,Курганка – Нове,Курганка – Нове,4.11
С042115,Миролюбівка – Олександрівка,Миролюбівка – Олександрівка,13.25
С042116,Миролюбівка – Свистунове,Миролюбівка – Свистунове,2.64
С042117,Гречані Поди – Озерне,Гречані Поди – Озерне,17.658
С042118,/Кривий Ріг – Інгулець/ – Стародобровільске,<Кривий Ріг – Інгулець> – Стародобровільске,01.06
С042119,Новоселівка – Інгулець – /Р-74/,Новоселівка – Інгулець – Р-74,8.067
С042120,Полтавка – /Новомалинівка – Зелений Став – Широка Долина – Зелене/,Полтавка – С042105,02.05
С042121,Яблуневе – Червоне – //Н-11/ – аеропорт/,Яблуневе – Червоне – О042104,4.25
С042122,Нове Життя – /Т-04-11/,Нове Життя – Т-04-11,2.4
С042123,Подове – /Т-04-11/,Подове – Т-04-11,0.93
С042124,Новомалинівка – Цвіткове – Карпівка,Новомалинівка – Цвіткове – Карпівка,5.84
С042125,ХПП – Карпівка – Зелений Гай,ХПП – Карпівка – Зелений Гай,11.103
С042126,Олександрія – Тихий Став,Олександрія – Тихий Став,6.18
С042127,/Явдотівка – Карпівка/ – Плугатар,С042107 – Плугатар,1.441
С042128,Подидар – Кравці,Подидар – Кравці,0.91
С042129,Надія – Новоукраїнка,Надія – Новоукраїнка,5.58
С042130,Радевичеве – Могилівка,Радевичеве – Могилівка,06.06
С042131,ІнГЗК – /Веселий Став – Андріївка/,ІнГЗК – С042108,01.02
С042132,Дачне – Кошове,Дачне – Кошове,8.46
С042133,Заберіжжя – Городуватка,Заберіжжя – Городуватка,5.14
С042134,Шерстірня – Ганнівка,Шерстірня – Ганнівка,5.43
С042135,Об’їзд смт Широке,Об’їзд смт Широке,01.05
С042136,Дем’янівка  – Широка Дача,Дем’янівка – Широка Дача,3.047
С042137,Під’їзд до с. Зелений Став,Під’їзд до с. Зелений Став,0.991
С042138,Під’їзд до с. Інгулець,Під’їзд до с. Інгулець,0.96
С042139,Під’їзд до с. Красний Під,Під’їзд до с. Красний Під,0.632
С042140,Під’їзд до с. Пологи,Під’їзд до с. Пологи,0.521
С042141,//Н-11/ – аеропорт/ – ІнГЗК,О042104 – ІнГЗК,1.77
С042142,Могилівка – Андріївка,Могилівка – Андріївка,1.91
С042201,П’ятихатки – Преображенка,П’ятихатки – Преображенка,16.15
С042202,Чернявщина – Терни,Чернявщина – Терни,9.96
С042203,Під’їзд до с.Терни,Під’їзд до с.Терни,0.8
С042204,Сокільське – Улянівка,Сокільське – Улянівка,2.19
С042205,/Т-04-12/ – Кіндратівка,Т-04-12 – Кіндратівка,4.1
С042206,/Р-51/ – Василівка,Р-51 – Василівка,02.05
С042207,Федорівське – Новоіванівське,Федорівське – Новоіванівське,6.75
С042208,Варламівка – /Р-51/,Варламівка – Р-51,0.51
С042209,Дубове – Водяне,Дубове – Водяне,6.8
С042210,/Шандрівка – Варварівка – Івано-Межиріцьке – Новогригорівка/ – Зарічне,О042203 – Зарічне,3.44
С042211,/Шандрівка – Варварівка – Івано-Межиріцьке – Новогригорівка/ – Широка Балка,О042203 – Широка Балка,4.73
С042212,Весела Гірка – /Шандрівка – Варварівка – Івано Межиріцьке – Новогригорівка/,Весела Гірка – О042203,1.84
С042213,Долина – /Вербуватівка – Нижнянка/,Долина – С042214,2.48
С042214,Вербуватівка – Нижнянка,Вербуватівка – Нижнянка,6.6
С042215,Під’їзд до с.Чаплинка,Під’їзд до с.Чаплинка,0.5
С042216,Під’їзд до бази Юр’ївського райавтодору,Під’їзд до бази Юр’ївського райавтодору,1.31
С042217,Лиманське – Жемчужне,Лиманське – Жемчужне,0.8
С041901,Томаківка – Олександрівка – /Р-73/,Томаківка – Олександрівка – Р-73,12.755
С041902,Крутеньке – Червоний Яр – /Р-73/,Крутеньке – Червоний Яр – Р-73,11.29
С041903,КСП “Победа” – /Т-04-20/,КСП “Победа” – Т-04-20,3.8
С041904,КСП “Родина” – /Мирове – Топила – Весела Федорівка/,КСП “Родина” – С041917,1.38
С041905,/Т-04-20/ – Катьощине,Т-04-20 – Катьощине,02.07
С041906,Шахта №7 – /Т-04-20/,Шахта №7 – Т-04-20,8.888
С041907,Запорізьке – Запорізька Балка,Запорізьке – Запорізька Балка,10.18
С041908,Вищетарасівка – рибколгосп “Дружба”,Вищетарасівка – рибколгосп “Дружба”,1.97
С041909,/Т-04-20/ – Новопавлівка,Т-04-20 – Новопавлівка,3.94
С041910,Новокраснопіль – Краснопіль,Новокраснопіль – Краснопіль,2.095
С041911,/Р-73/ – Баркове,Р-73 – Баркове,4.7
С041912,Бройлєрна ф-ка – Преображенка,Бройлєрна фабрика – Преображенка,7.185
С041913,Зелений Гай – Веселий Яр – Широке,Зелений Гай – Веселий Яр – Широке,5.98
С041914,Михайлівка – /Н-23/,Михайлівка – Н-23,5.485
С041915,/Н-23/ – Гарбузівка,Н-23 – Гарбузівка,1.32
С041916,Степанівка – Високе,Степанівка – Високе,2.13
С041917,Мирове – Топила – Весела Федорівка,Мирове – Топила – Весела Федорівка,8
С041918,Мирове – сільхозтехніка,Мирове – сільхозтехніка,2.595
С041919,Новомихайлівка – Запорізька Балка,Новомихайлівка – Запорізька Балка,1.53
С041920,/Мирове – Високе – /Н-23// – Глухе – Новокиївка,О041904 – Глухе – Новокиївка,20.94
С041921,/Запорізьке – Запорізька Балка/ – Виводове,С041907 – Виводове,4.062
С041922,Запорізька Балка – Ганнівка,Запорізька Балка – Ганнівка,2.26
С041923,Під’їзд до с. Новокам’янка,Під’їзд до с. Новокам’янка,1.735
С041924,Під’їзд до с. Вільне,Під’їзд до с. Вільне,1.57
С041925,Під’їзд до с. Маяк,Під’їзд до с. Маяк,1.5
С041926,Під’їзд до с. Прогрес,Під’їзд до с. Прогрес,2.66
