uid,ref,name,official_name,distance,district
574703868,О102001,Великі Єрчики – Рогізна – О102408,ВЕЛИКI ЄРЧИКИ - РОГІЗНА - /МАЛОПОЛОВЕЦЬКЕ-ШАМРАЇВКА ЧЕРЕЗ ДУЛИЦЬКЕ/,18.3,Сквирський район
574703869,О102002,Антонів – Веснянка – Городище Пустоварівське,АНТОНIВ - ВЕСНЯНКА - ГОРОДИЩЕ ПУСТОВАРIВСЬКЕ,13.6,"Володарський район,Сквирський район,Володарський район,Сквирський район"
574703870,О102003,Малі Єрчики – Кривошиїнці,МАЛI ЄРЧИКИ - КРИВОШИЇНЦІ,18.4,Сквирський район
574703871,О102004,Турбів – Погребище – Сквира – Шапіївка,/ТУРБІВ-ПОГРЕБИЩЕ-СКВИРА /- ШАПIЇВКА,3.7,Сквирський район
574703872,О102005,Н-02 – Пустоварівка – Веснянка,/Н-02/- ВЕСНЯНКА ЧЕPЕЗ ПУСТОВАРIВКУ,16.1,Сквирський район
574703873,О102006,Буки – Безпечна – Н-02,БУКИ- БЕЗПЕЧНА - /Н-02/,14.1,Сквирський район
574703874,О102007,Сквира – Квітневе – Т-02-03,СКВИРА - /ТУРБIВ-ПОГРЕБИЩЕ-СКВИРА/ ЧЕРЕЗ КВIТНЕВЕ,9.4,Сквирський район
574703876,О102009,Сквира – Руде Село – Р-17,СКВИРА - РУДЕ СЕЛО -/БІЛА ЦЕРКВА - ТЕТІЇВ - ЛИПОВЕЦЬ - ГУМЕННЕ/,27.2,"Володарський район,Сквирський район"
574703898,О102010,Н-02 – Кам'яна Гребля,/ Н-02/- КАМ'ЯНА ГРЕБЛЯ,2.0,Сквирський район
574703900,О102012,Селезенівка – Самгородок,СЕЛЕЗЕНIВКА-САМГОРОДОК,11.5,Сквирський район
574703901,О102013,Сквира – Руде Село – Р-17 – Тхорівка – Пустоварівка,СКВИРА-РУДЕ СЕЛО-/БІЛА ЦЕРКВА-ТЕТІЇВ-ЛИПОВЕЦЬ-ГУМЕННЕ /- ТХОРІВКА - ПУСТОВАРIВКА,14.1,Сквирський район
574704830,О102102,Ставище – Розкішна – Жашків,СТАВИЩЕ-РОЗКІШНА /НА ЖАШКІВ/,7.5,Ставищенський район
574704831,О102103,Ставище – Тетерівка,СТАВИЩЕ - ТЕТЕРIВКА,12.4,Ставищенський район
574704832,О102104,Ставище – Станіславчик – Виноград,СТАВИЩЕ - СТАНІСЛАВЧИК /НА ВИНОГРАД/,19.0,Ставищенський район
574704833,О102105,Розумниця – Красилівка – Брилівка – Ясенівка – Богатирка,"РОЗУМНИЦЯ - БОГАТИРКА ЧЕРЕЗ КРАСИЛIВКУ, БРИЛIВКУ, ЯСЕНIВКУ",48.6,Ставищенський район
574704834,О102106,Гейсиха – Попружна,ГЕЙСИХА-ПОПРУЖНА,5.7,Ставищенський район
574704835,О102107,Гостра Могила – Любча – Василиха – Т-10-14,"ГОСТРА МОГИЛА-/Т-10-14/ ЧЕРЕЗ ЛЮБЧУ, ВАСИЛИХУ",23.6,Ставищенський район
574705790,О102201,Т-10-21 – Юшків Ріг – Велика Вовнянка – Р-04,"/ТАРАЩА-СТАВИЩЕ/ - /Р-04/ ЧЕPЕЗ ЮШКІВ РІГ, ВЕЛИКУ ВОВНЯНКУ",22.0,Таращанський район
574705792,О102203,Тараща – Калинове,ТАРАЩА - КАЛИНОВЕ,21.3,Таращанський район
574705794,О102205,Велика Вовнянка – Дубівка – Велика Березянка,ВЕЛИКА ВОВНЯНКА - ДУБІВКА - ВЕЛИКА БЕРЕЗЯНКА,8.8,Таращанський район
574705795,О102206,Бовкун – Дибинці,БОВКУН - ДИБИНЦІ,16.7,"Богуславський район,Таращанський район"
574705796,О102207,Антонівка – Побережка,АНТОНІВКА-ПОБЕРЕЖКА,9.9,"Богуславський район,Таращанський район"
574705798,О102209,Р-04 – Круті Горби – Побережка,/КИЇВ-ФАСТIВ - БІЛА ЦЕРКВА-ТАРАЩА-ЗВЕНИГОРОДКА/ - ПОБЕРЕЖКА ЧЕPЕЗ КРУТI ГОРБИ,9.6,Таращанський район
574705820,О102210,Ківшовата – Бовкун,КІВШОВАТА-БОВКУН,12.5,Таращанський район
574705821,О102211,Станішівка – Круті Горби,СТАНИШIВКА - КРУТI ГОРБИ,14.4,Таращанський район
574705822,О102212,Калинове – Веселий Кут,КАЛИНОВЕ-ВЕСЕЛИЙ КУТ,6.6,Таращанський район
574706752,О102302,Тетіїв – Горошків – Жашків,ТЕТIЇВ- ГОРОШКIВ /НА ЖАШКІВ/,22.3,Тетіївський район
574706753,О102303,Тетіїв – Бурківці – Збаржівка,ТЕТIЇВ - БУРКIВЦI /НА ЗБАРЖІВКУ/,8.1,Тетіївський район
574706754,О102304,Тетіїв – Дзвеняче – Михайлівка,ТЕТIЇВ - МИХАЙЛIВКА ЧЕРЕЗ ДЗВЕНЯЧЕ,8.5,Тетіївський район
574706755,О102305,Тетіїв – Теліженці – Михайлівка,ТЕТІЇВ - МИХАЙЛIВКА ЧЕРЕЗ ТЕЛІЖЕНЦІ,7.4,Тетіївський район
574706756,О102306,Тетіїв – Черепин – Черепинка,ТЕТIЇВ - ЧЕРЕПИНКА ЧЕРЕЗ ЧЕРЕПИН,11.6,Тетіївський район
574706757,О102307,Тетіїв – Стадниця,ТЕТIЇВ - СТАДНИЦЯ,14.8,Тетіївський район
574706758,О102308,Р-17 – Черепин,/БIЛА ЦЕРКВА - ТЕТІЇВ-ЛИПОВЕЦЬ-ГУМЕННЕ - /М-12/-ЧЕРЕПИН,10.6,Тетіївський район
574706759,О102309,О100901 – Ненадиха – Т-10-14,/ВОЛОДАРКА - ЛОБАЧІВ-ДЕНИХIВКА/ - НЕНАДИХА - /Т-10-14/,5.7,Тетіївський район
574706781,О102310,Стадниця – Клюки,СТАДНИЦЯ - КЛЮКИ,4.0,Тетіївський район
574706782,О102311,Черепин – Галайки,ЧЕРЕПИН - ГАЛАЙКИ,4.4,Тетіївський район
574706783,О102312,Скибенці – О102306,СКИБЕНЦІ -/ТЕТIЇВ - ЧЕРЕПИНКА ЧЕРЕЗ ЧЕРЕПИН/,7.2,Тетіївський район
574706784,О102313,П'ятигори – Горошків,П'ЯТИГОРИ - ГОРОШКIВ,12.9,Тетіївський район
574706785,О102314,Кошів – Бурківці,КОШIВ - БУРКIВЦI,9.7,Тетіївський район
574706786,О102315,О102307 – Голодьки,/ТЕТIЇВ - СТАДНИЦЯ/ - ГОЛОДЬКИ,9.1,Тетіївський район
574706787,О102316,Кашперівка – Кошів – Борщагівка,КАШПЕРІВКА-КОШІВ (НА БОРЩАГІВКУ),14.5,Тетіївський район
574707712,О102401,Велика Снітинка – Фастовець – Паляничинці,ВЕЛИКА СНIТИНКА - ПАЛЯНИЧИНЦI ЧЕPЕЗ ФАСТОВЕЦЬ,12.8,Фастівський район
574707713,О102402,Триліси – Малополовецьке,ТРИЛIСИ - МАЛОПОЛОВЕЦЬКЕ,5.3,Фастівський район
574707714,О102403,Фастів – Борова – М-05,ФАСТIВ - БОРОВА - /М-05/,27.0,"Васильківський район,Фастівський район"
574707715,О102404,Фастів – Скригалівка,ФАСТIВ - СКРИГАЛIВКА,11.0,Фастівський район
574707716,О102405,Фастів – Кощіївка,ФАСТIВ - КОЩIЇВКА,9.0,Фастівський район
574707717,О102406,Скригалівка – Кожанка – Яхні,СКРИГАЛIВКА - ЯХНИ ЧЕРЕЗ КОЖАНКУ,29.9,Фастівський район
574707718,О102407,станція Півні – Велика Мотовилівка – Оленівка – Р-19,"СТАНЦIЯ ПIВНI - /Р-19/ ЧЕРЕЗ ВЕЛИКУ МОТОВИЛІВКУ, ОЛЕНIВКУ",8.3,Фастівський район
574707719,О102408,Малополовецьке – Дулицьке – Шамраївка,МАЛОПОЛОВЕЦЬКЕ-ШАМРАЇВКА ЧЕРЕЗ ДУЛИЦЬКЕ,21.9,"Сквирський район,Фастівський район"
574707720,О102409,Фастів – Волиця,ФАСТІВ - ВОЛИЦЯ,5.2,Фастівський район
574707742,О102410,Федорівка – Великі Гуляки – Дідівщина – Ярошівка,"ФЕДОРIВКА - ЯРОШIВКА ЧЕРЕЗ ВЕЛИКI ГУЛЯКИ, ДIДIВЩИНА",19.7,Фастівський район
574707743,О102411,Р-04 – Дорогинка – Кощіївка,/Р-04/ - КОЩІЇВКА ЧЕРЕЗ ДОРОГИНКУ,8.3,Фастівський район
574707744,О102412,О102413 – Веприк – О102404,/ФАСТIВ - ДІДІВЩИНА /НА БРУСИЛІВ /- /ФАСТIВ - СКРИГАЛIВКА/ ЧЕРЕЗ ВЕПРИК,7.3,Фастівський район
574707745,О102413,Фастів – Дідівщина – Брусилів,ФАСТІВ - ДІДІВЩИНА /НА БРУСИЛІВ на/,18.9,Фастівський район
574708674,О102502,Яготин – Мала Березанка – Вільне,ЯГОТИН - ВIЛЬНЕ ЧЕРЕЗ МАЛУ БЕРЕЗАНКУ,20.2,"Згурівський район,Яготинський район"
574708675,О102503,Яготин – Засупоївка – М-03,ЯГОТИН - /М-03/ ЧЕРЕЗ ЗАСУПОЇВКУ,8.5,Яготинський район
574708676,О102504,О101713 – Добраничівка,/ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ-ДОБРАНИЧІВКА-/М-03/ - с.ДОБРАНИЧІВКА,3.6,Яготинський район
574708677,О102505,Т-25-41 – Гарачіївщина – Т-10-18,/Т-25-41/ - /БОРИСПІЛЬ-БЕРЕЗАНЬ-ЯГОТИН/ ЧЕРЕЗ ГАРАЧИЇВЩИНУ,8.8,Яготинський район
574708678,О102506,Т-25-41 – Сотниківка,/Т-25-41/ - СОТНИКIВКА,3.9,Яготинський район
574708679,О102507,Т-25-41 – Яготин,/Т-25-41/ - ЯГОТИН,6.6,Яготинський район
574708681,О102509,Черняхівка – Богданівка,ЧЕРНЯХІВКА - БОГДАНІВКА,3.9,Яготинський район
574708703,О102510,О101001 – Годунівка,/ЗГУРІВКА - /М-03/ ЧЕРЕЗ СУЛИМІВКУ/ - ГОДУНIВКА,5.3,Яготинський район
574708704,О102511,Черняхівка – Фарбоване,ЧЕРНЯХIВКА - ФАРБОВАНЕ,12.0,Яготинський район
574708707,О102514,Яготин – Жоравка – Теплівка,ЯГОТИН - ЖОРАВКА (НА ТЕПЛІВКУ),22.1,Яготинський район
