uid,ref,name,official_name,distance,district
574651047,О100714,О100719 – Пологи – Гайок – Терезине – М-05,"/УСТИМIВКА - ГРЕБІНКИ/ - /М-05/ ЧЕPЕЗ ПОЛОГИ,ГАЙОК,ТЕРЕЗИНЕ",17.2,"Білоцерківський район,Васильківський район"
574651048,О100715,М-05 – Вінницькі Стави – Ковалівка,/ М-05 / - КОВАЛIВКА ЧЕРЕЗ ВIННИЦЬКI СТАВИ,15.8,Васильківський район
574651049,О100716,Р-19 – Мар'янівка – Ксаверівка,/Р-19/ - КСАВЕРІВКА ЧЕРЕЗ МАР'ЯНІВКУ,8.7,Васильківський район
574651050,О100717,Вільшанська Новоселиця – Петрівка – Павлівка – Затиша,ВIЛЬШАНСЬКА НОВОСЕЛИЦЯ - ПЕТРІВКА - ПАВЛIВКА - ЗАТИША,16.6,"Білоцерківський район,Васильківський район"
574651051,О100718,М-05 – Калинівка,/М-05/- КАЛИНIВКА,3.9,Васильківський район
574651052,О100719,Устимівка – Гребінки,УСТИМІВКА-ГРЕБІНКИ,11.7,Васильківський район
574651074,О100720,Васильків – Княжичі – Лука – Гореничі – М-06,ВАСИЛЬКІВ - КНЯЖИЧІ - ЛУКА - ГОРЕНИЧІ - /М-06/,37.3,"Васильківський район,Києво-Святошинський район"
574651974,О100801,Литвинівка – Демидів,ЛИТВИНIВКА - ДЕМИДІВ,6.7,Вишгородський район
574651976,О100803,Димер – Богдани з обходом с. Сухолуччя,ДИМЕР - БОГДАНИ З ОБХОДОМ с.СУХОЛУЧЧЯ,48.1,Вишгородський район
574651977,О100804,Димер – Гаврилівка – Синяк,ДИМЕР - ГАВРИЛIВКА - СИНЯК,18.7,Вишгородський район
574651978,О100805,Р-69 – Ровжі,/КИЇВ - ВИШГОРОД - ДЕСНА - ЧЕРНІГІВ/ - РОВЖІ,38.6,Вишгородський район
574651979,О100806,Димер – Любимівка – Сичівка,ДИМЕР - ЛЮБИМІВКА - СИЧІВКА,22.8,Вишгородський район
574651980,О100807,О100803 – Дніпровсько – Тетерівський заповідник,/ ДИМЕР-БОГДАНИ З ОБХОДОМ с.СУХОЛУЧЧЯ/ - ДНIПPОВСЬКО - ТЕТЕPIВСЬКИЙ ЗАПОВІДНИК,26.0,Вишгородський район
574651981,О100808,Димер – Козаровичі – Лютіж,ДИМЕР - КОЗАРОВИЧI - ЛЮТІЖ,12.9,Вишгородський район
574651982,О100809,Любимівка – Овдієва Нива – Богдани,ЛЮБИМІВКА - ОВДІЄВА НИВА - БОГДАНИ,12.4,Вишгородський район
574652935,О100901,Володарка – Лобачів – Денихівка,ВОЛОДАРКА - ЛОБАЧIВ - ДЕНИХIВКА,31.5,"Володарський район,Тетіївський район"
574652937,О100903,Р-17 – Тарасівка – Володарка,/Р-17/- ТАРАСIВКА - ВОЛОДАРКА,19.6,Володарський район
574652938,О100904,Р-18 – Біліївка,/Р-18/ - БIЛIЇВКА,2.4,Володарський район
574652939,О100905,Р-18 – Капустинці – Руде Село,/Р-18/- КАПУСТИНЦI - РУДЕ СЕЛО,35.9,Володарський район
574652940,О100906,Завадівка – Лобачів,ЗАВАДIВКА - ЛОБАЧIВ,10.1,Володарський район
574652941,О100907,Пархомівка – Ожегівка – Матвіїха,ПАРХОМIВКА - ОЖЕГIВКА - МАТВIЇХА,11.0,Володарський район
574674077,О101001,Згурівка – Сулимівка – М-03,ЗГУРIВКА-/М-03/ ЧЕРЕЗ СУЛИМIВКУ,40.4,"Згурівський район,Яготинський район"
574674079,О101003,Згурівка – Середовка – Н-07,ЗГУРIВКА -/ Н-07/ ЧЕРЕЗ СЕРЕДОВКУ,15.9,Згурівський район
574674080,О101004,Згурівка – Нова Олександрівка – Ярешки,ЗГУРIВКА-ЯРЕШКИ ЧЕРЕЗ НОВУ ОЛЕКСАНДРIВКУ,22.6,"Баришівський район,Згурівський район"
574674081,О101005,Мала Березанка – Жуківка,МАЛА БЕРЕЗАНКА-ЖУКIВКА,6.2,Згурівський район
574674082,О101006,О101012 – Гречана Гребля,/ГОРБАЧІВКА-ВОЗНЕСЕНСЬКЕ-/Т-25-41/-ГРЕЧАНА ГРЕБЛЯ,4.6,Згурівський район
574674084,О101008,Вознесенське – Гензерівка – Жоравка,ВОЗНЕСЕНСЬКЕ-ЖОРАВКА ЧЕРЕЗ ГЕНЗЕРIВКУ,16.4,"Згурівський район,Яготинський район"
574674085,О101009,Стара Оржиця – Пасківщина – Турівка – Прилуки,СТАРА ОРЖИЦЯ - ПАСКIВЩИНА - ТУРIВКА/ НА ПРИЛУКИ/,12.4,Згурівський район
574674107,О101010,Згурівка – Майське,ЗГУРIВКА - МАЙСЬКЕ,12.2,Згурівський район
574674108,О101011,Стара Оржиця – О101012,СТАРА ОРЖИЦЯ - /ГОРБАЧІВКА-ВОЗНЕСЕНСЬКЕ-/Т-25-41/,7.4,Згурівський район
574674109,О101012,Горбачівка – Вознесенське – Т-25-41,ГОРБАЧІВКА-ВОЗНЕСЕНСЬКЕ-/Т-25-41/,31.1,"Згурівський район,Яготинський район"
574674110,О101013,Згурівка – Березань – М-03,ЗГУРІВКА - БЕРЕЗАНЬ -/М-03/,33.6,"Баришівський район,Згурівський район"
574675039,О101102,Іванків – Блідча – Кухарі,IВАНКIВ - КУХАРІ ЧЕPЕЗ БЛІДЧА,25.4,Іванківський район
574675041,О101104,Іванків – Коленцівське,IВАНКIВ - КОЛЕНЦІВСЬКЕ,11.1,Іванківський район
574675042,О101105,Іванків – Сукачі,IВАНКІВ - СУКАЧІ,4.8,Іванківський район
574675043,О101106,Піски – Р-02-02,"ПIСКИ - /ПІД'ЇЗД ДО ЧОРНОБИЛЬСЬКОЇ АЕС /КПП ""ДИТЯТКИ""/",9.7,Іванківський район
574675044,О101107,Термахівка – Старі Соколи,ТЕРМАХIВКА-СТАРІ СОКОЛИ,20.4,Іванківський район
574675045,О101108,Оране – Страхолісся,ОРАНЕ- СТРАХОЛІССЯ,20.4,Іванківський район
574675046,О101109,Дитятки – Горностайпіль,ДИТЯТКИ - ГОРНОСТАЙПIЛЬ,10.0,Іванківський район
574675068,О101110,Іванків – Пісківка – Радомишль,ІВАНКІВ - ПІСКІВКА / НА РАДОМИШЛЬ/,60.3,"Бородянський район,Іванківський район"
574675069,О101111,Розважів – Тетерівське – Кухарі – Любовичі,РОЗВАЖIВ - ТЕТЕРIВСЬКЕ- КУХАРI /НА ЛЮБОВИЧІ /,30.5,Іванківський район
574675070,О101112,Сидоровичі – Буда Полідарівська – Жміївка,СИДОРОВИЧІ - БУДА ПОЛIДАРIВСЬКА - ЖМИЇВКА,9.6,Іванківський район
574675071,О101113,Термахівка – Варівськ – Малин,ТЕРМАХІВКА - ВАРІВСЬК /НА МАЛИН/,20.8,Іванківський район
574675072,О101114,Верхолісся – Олива,ВЕРХОЛIССЯ - ОЛИВА,29.5,Іванківський район
574675999,О101201,Кагарлик – Стайки,КАГАРЛИК - СТАЙКИ,28.5,Кагарлицький район
574676000,О101202,Півці – Зеленьки,ПІВЦІ-ЗЕЛЕНЬКИ,27.8,"Кагарлицький район,Миронівський район"
574676001,О101203,Кагарлик – Сущани,КАГАРЛИК - СУЩАНИ,22.2,Кагарлицький район
574676002,О101204,Кагарлик – Очеретяне – Коритище – Потік,КАГАРЛИК - ОЧЕРЕТЯНЕ-КОРИТИЩЕ-ПОТІК,21.3,"Кагарлицький район,Миронівський район"
574676003,О101205,Н-02 – Великі Процькі,/Н-02/-ВЕЛИКI ПРИЦЬКИ,7.3,Кагарлицький район
574676004,О101206,Ржищів – Уляники – Пії,РЖИЩIВ - ПIЇ ЧЕРЕЗ УЛЯНИКИ,12.6,"Кагарлицький район,Миронівський район"
574676005,О101207,О101206 – Балико – Щучинка,/РЖИЩIВ - ПIЇ ЧЕРЕЗ УЛЯНИКИ/- БАЛИКО-ЩУЧИНКА,3.9,Кагарлицький район
574676006,О101208,Зорівка – Тарасівка – Кип'ячка,"ЗОРIВКА - ТАРАСIВКА - КИП""ЯЧКА",8.3,"Кагарлицький район,Миронівський район"
574676007,О101209,Черняхів – Антонівка – Стави,ЧЕРНЯХIВ-СТАВИ ЧЕPЕЗ АНТОНIВКУ,31.9,Кагарлицький район
574676030,О101211,Кагарлик – Карапиші – Богуслав,КАГАРЛИК-КАРАПИШІ-БОГУСЛАВ,38.9,"Богуславський район,Кагарлицький район,Миронівський район"
574676032,О101213,Демівщина – Н-02,ДЕМIВЩИНА-/Н-02/,5.1,Кагарлицький район
574676033,О101214,Н-01 – Зелений Яр,/КИЇВ-ЗНАМ'ЯНКА/- ЗЕЛЕНИЙ ЯР,2.5,Кагарлицький район
574676034,О101215,О101201 – Халча,/КАГАРЛИК - СТАЙКИ/- ХАЛЧА,4.2,Кагарлицький район
574676035,О101216,Н-01 – Слобода,/КИЇВ-ЗНАМ'ЯНКА/- СЛОБОДА,3.6,Кагарлицький район
574676036,О101217,Н-01 – Переселення – О101203,/КИЇВ-ЗНАМ'ЯНКА/ - ПЕРЕСЕЛЕННЯ-/КАГАРЛИК - СУЩАНИ/,5.9,Кагарлицький район
574676037,О101218,Мирівка – Шпендівка,МИРIВКА-ШПЕНДIВКА,10.6,Кагарлицький район
574676038,О101219,Кулі – Сущана,КУЛI-СУЩАНА,2.0,Кагарлицький район
574676060,О101220,О101202 – Яблунівка,/ПІВЦІ-ЗЕЛЕНЬКИ/- ЯБЛУНIВКА,1.1,Кагарлицький район
574676960,О101301,Гостомель – Берестянка – Мирча – М-07,ГОСТОМЕЛЬ - БЕРЕСТЯНКА - МИРЧА - /М-07/,54.6,"Бородянський район,Києво-Святошинський район"
574676963,О101304,Київське Півкільце – Крюківщина – Боярка,КИЇВСЬКЕ ПІВКІЛЬЦЕ- КРЮКІВЩИНА - БОЯРКА,13.0,Києво-Святошинський район
574676964,О101305,Буча – Баланівка – О101301,БУЧА - /ГОСТОМЕЛЬ -БЕРЕСТЯНКА-МИРЧА-/М-07/ ЧЕРЕЗ БАЛАНIВКУ,4.7,Києво-Святошинський район
574676965,О101306,М-07 – Ворзель,/М-07/- ВОРЗЕЛЬ,1.2,Києво-Святошинський район
574676968,О101309,Ясногородка – Музичі,ЯСНОГОРОДКА - МУЗИЧI,6.0,Києво-Святошинський район
574676990,О101310,Горенка – Пуща Водиця,ГОРЕНКА - ПУЩА ВОДИЦЯ,2.8,Києво-Святошинський район
574676991,О101311,Музичі – Грузьке,МУЗИЧI-ГРУЗЬКЕ,28.7,"Києво-Святошинський район,Макарівський район"
574676992,О101312,Ворзель – Рубежівка – Забуччя,ВОРЗЕЛЬ-ЗАБУЧЧЯ ЧЕРЕЗ М.РУБЕЖІВКУ,6.0,Києво-Святошинський район
574676993,О101313,Боярка – М-06,БОЯРКА-/КИЇВ-ЧОП/,14.4,Києво-Святошинський район
574676994,О101314,Боярка – Малютинка – Іванків – Глеваха,БОЯРКА-МАЛЮТИНКА-ІВАНКІВ-ГЛЕВАХА,8.1,Києво-Святошинський район
574676995,О101315,Вишневе – Софіївська Борщагівка,ВИШНЕВЕ - СОФIЇВСЬКА БОРЩАГIВКА,1.3,Києво-Святошинський район
574676996,О101316,Крюківщина – Лісники,КРЮКIВЩИНА-ЛIСНИКИ,15.8,Києво-Святошинський район
