ref,official_name,name,distance,district
С140503,Жидачів-Сулятичі,Жидачів – Сулятичі,19.4,Стрийський район
С141825,Гайдучина-Дашава,Гайдучина – Дашава,2.1,Стрийський район
С140671,Гори-Зіболки,Гори – Зіболки,2.5,Львівський район
С140808,(Львів-Луцьк)-Полонична,Н-17 – Полонична,11.7,Червоноградський район
С141651,Піддовге-(Рава-Руська-Гайок),Піддовге – О140601,2.7,Червоноградський район
С140831,Тичок-Сілець,Тичок – Сілець,2.3,Червоноградський район
С141449,(Нижанковичі-Стрий)-Дубрівка,Т-14-18 – Дубрівка,2.2,Самбірський район
С140739,Женів-Глиняни,Женів – Глиняни,3.7,Львівський район
С142032,Добростани-Івано-Франкове,Добростани – Івано – Франкове,12.6,Яворівський район
С140716,Поморяни-Розгадів,Поморяни – Розгадів,1.5,Золочівський район
С140545,Кологури-Лучани,Кологури – Лучани,12.7,Львівський район;Стрийський район
С140146,Лукавець-Кругів,Лукавець – Кругів,2.6,Золочівський район
С141011,Шегині -Боляновичі,Шегині – Боляновичі,15.2,Яворівський район
С141123,Хомина-Біле,Хомина – Біле,3.8,Львівський район
С140144,Черниця-(Броди-Тернопіль),Черниця – Р-39,3.0,Золочівський район
С141821,Жулин-Долішнє,Жулин – Долішнє,4.7,Стрийський район
С140655,Борове-Рава-Руська,Борове – Рава – Руська,0.2,Львівський район
С141001,Биків-Крисовичі,Биків – Крисовичі,15.2,Яворівський район
С141704,Мшанець-Стрілки,Мшанець – Стрілки,19.3,Самбірський район
С140809,Зубів Міст-Прибужани,Зубів Міст – Прибужани,1.4,Львівський район
С140912,Ричагів-Мала Горожанка-Вербіж,Ричагів – Мала Горожанка – Вербіж,9.3,Стрийський район
С141625,Угринів-Старгород,Угринів – Старгород,6.0,Червоноградський район
С140906,Пісочна-(Миколаїв-Жидачів-Калуш),Пісочна – Т-14-19,9.0,Стрийський район
С140325,(Кліцко-Підзвіринець-Грімно)-Паланки,С140332 – Паланки,1.0,Львівський район
О141101,Стрілки-Ушковичі,Стрілки – Ушковичі,20.5,Львівський район
С140928,Держів-Тейсарів,Держів – Тейсарів,5.8,Стрийський район;Стрийський район
С141253,Коцурів-Гринів,Коцурів – Гринів,2.8,Львівський район
С141318,Забава-Старий Витків,Забава – Старий Витків,9.2,Червоноградський район
С140722,Бужок-Білий Камінь,Бужок – Білий Камінь,1.6,Золочівський район
С141607,Тартаків-Княже,Тартаків – Княже,13.9,Червоноградський район
С141745,Боратичі-Стороневичі,Боратичі – Стороневичі,0.8,Самбірський район
С140816,Ременів-Руданці,Ременів – Руданці,2.6,Львівський район
С140909,Тростянець-Стільсько-Розділ,Тростянець – Стільсько – Розділ,16.7,Стрийський район
С141134,Стоки-Вілявче,Стоки – Вілявче,3.8,Львівський район
С141736,Конів-Букова,Конів – Букова,4.4,Самбірський район
С141054,(Нагірне-Добромиль)-Гостиславичі,О141002 – Гостиславичі,2.3,Яворівський район
С142037,Краковець-Передвір'я,Краковець – Передвір'я,6.0,Яворівський район
С140214,Стовпин-Гумниська,Стовпин – Гумниська,12.2,Золочівський район
С141637,Нісмичі-Лубнівка,Нісмичі – Лубнівка,3.1,Червоноградський район
С140727,Варшава-Вороняки,Варшава – Вороняки,1.7,Золочівський район
С142035,"Жорниська-Карачинів,",Жорниська – Карачинів,5.5,Яворівський район
С141827,Малі Дідушичі-Зарічне,Малі Дідушичі – Зарічне,5.2,Стрийський район
С140240,Олесько-Циків,Олесько – Циків,3.4,Золочівський район
С140438,Рибник-Довге,Рибник – Довге,4.7,Дрогобицький район
С140608,Завадів-Малий Дорошів,Завадів – Малий Дорошів,9.8,Львівський район
С140612,Боянець-Купичволя,Боянець – Купичволя,7.6,Червоноградський район
С140610,Воля-Гомулецька-Малі Підліски,Воля – Гомулецька – Малі Підліски,11.0,Львівський район
С140719,Золочів-Золочівка,Золочів – Золочівка,0.5,Золочівський район
С140725,Черемошня-Ушня,Черемошня – Ушня,8.6,Золочівський район
С140826,Сілець-Бараташі,Сілець – Бараташі,1.5,Червоноградський район
С142019,Колониці-Завадів,Колониці – Завадів,6.8,Яворівський район
С141640,Лещатів-Залижня,Лещатів – Залижня,0.9,Червоноградський район
С140918,Підзвіринець-Колодруби,Підзвіринець – Колодруби,4.0,Стрийський район
С140142,Жарків-Голубиця,Жарків – Голубиця,8.0,Золочівський район
С141928,Бережок-Дністрик-Дубовий,Бережок – Дністрик-Дубовий,4.0,Самбірський район
О140302,"Городок-Терновиця,",Городок – Терновиця,21.0,Львівський район;Яворівський район
С140542,Лисків-Корчівка,Лисків – Корчівка,1.7,Стрийський район
С141705,Нижанковичі-Дроздовичі,Нижанковичі – Дроздовичі,5.5,Самбірський район
С140639,Дениси-Сідельники,Дениси – Сідельники,2.0,Львівський район
С141909,Ясениця-Новий Кропивник,Ясениця – Новий Кропивник,16.8,Дрогобицький район;Самбірський район
С140210,Побужани-Яблунівка,Побужани – Яблунівка,2.8,Золочівський район
С141224,Пасіки Зубрицькі-Жирівка,Пасіки Зубрицькі – Жирівка,4.5,Львівський район
С141531,Решітка-Ялинкувате,Решітка – Ялинкувате,12.9,Стрийський район
С140745,(Львів-Тернопіль)-Кобилеччина,Н-02 – Кобилеччина,1.0,Золочівський район
С141908,Боберка-Бориня,Боберка – Бориня,26.8,Самбірський район
С142014,Зарубани-Середкевичі,Зарубани – Середкевичі,2.1,Яворівський район
О140601,Рава-Руська-Гайок,Рава – Руська – Гайок,61.1,Львівський район;Червоноградський район
С140711,Сасів-Кругів,Сасів – Кругів,16.3,Золочівський район
С140932,Трудове-Підлісся,Трудове – Підлісся,5.4,Стрийський район
С142028,Когути-Стені,Когути – Стені,1.2,Яворівський район
С141611,Шарпанці-Тартаків,Шарпанці – Тартаків,20.5,Червоноградський район
С140635,Лавриків-Бокали,Лавриків – Бокали,1.1,Львівський район
С141912,Верхній Турів-Нижнє,Верхній Турів – Нижнє,7.9,Самбірський район
С142016,Воля-Любинська-Бунів,Воля – Любинська – Бунів,6.3,Яворівський район
С140322,Великий Любінь-Піски,Великий Любінь – Піски,5.2,Львівський район
С141733,Горішні Біличі-Біличі,Горішні Біличі – Біличі,4.5,Самбірський район
С141529,Головецько-Пшонець,Головецько – Пшонець,4.1,Стрийський район
С140406,Модричі-(Східниця-Пісочна),Модричі – Т-14-02,1.7,Дрогобицький район
С141722,Созань-Воля,Созань – Воля,6.7,Самбірський район
С141430,Гординя-Залужани,Гординя – Залужани,7.3,Самбірський район
С140678,Мокротин-Відродження,Мокротин – Відродження,1.2,Львівський район
О140103,Ясенів-Золочів,Ясенів – Золочів,19.3,Золочівський район
С141807,Стрий-Дуліби,Стрий – Дуліби,3.4,Стрийський район
С141708,Чижки-Чаплі,Чижки – Чаплі,9.1,Самбірський район
С140321,Мильчиці-Вишня,Мильчиці – Вишня,8.0,Львівський район;Самбірський район
С140212,Чаниж-Переволочна,Чаниж – Переволочна,10.8,Золочівський район
С140304,Городок-Малий Любінь,Городок – Малий Любінь,12.9,Львівський район
С141724,Мала Лінина-Стрілки,Мала Лінина – Стрілки,8.4,Самбірський район
С140201,Брахів-Заболотці,Брахів – Заболотці,16.7,Золочівський район
С141019,Поповичі-Хідновичі,Поповичі – Хідновичі,1.0,Яворівський район
С141925,Івашківці-(Київ-Чоп),Івашківці – М-06,1.4,Самбірський район
С140620,Нова Скварява-Мокротин,Нова Скварява – Мокротин,7.6,Львівський район
С140313,Керниця-Любовичі,Керниця – Любовичі,4.1,Львівський район
О140403,Дрогобич-Комарно,Дрогобич – Комарно,33.4,Дрогобицький район;Львівський район
С141219,Загір'я-Суха Долина-(Київ-Чоп),Загір'я – Суха Долина – М-06,11.8,Львівський район
С141133,Свірж-Глібовичі,Свірж – Глібовичі,3.7,Львівський район
С142046,Ципівки-Новини,Ципівки – Новини,2.5,Яворівський район
С141453,Мала Спринька-(Звір-Лукавиця),Мала Спринька – С141414,1.6,Самбірський район
