ref,official_name,name,distance,district
С141336,(Броди-Червоноград)-Кути,Т-14-10 – Кути,2.0,Червоноградський район
С141409,Кружики-Нагірне,Кружики – Нагірне,11.9,Самбірський район
С140143,(Броди-Сморжів)-Клекотів,О140101 – Клекотів,6.6,Золочівський район
С140522,Дем'янка-Наддністрянська-Дем'янка-Лісна,Дем'янка – Наддністрянська – Дем'янка – Лісна,2.3,Стрийський район
С141817,(Слобідка-Журавне)-Стрілків,С141809 – Стрілків,1.5,Стрийський район
С140136,Королівка-Лешнів,Королівка – Лешнів,5.2,Золочівський район
С141265,Зубра-Пасіки-Зубрецькі-(Київ-Чоп),Зубра – Пасіки – Зубрецькі – М-06,5.0,Львівський район
С141610,Ульвівок-Забужжя,Ульвівок – Забужжя,10.7,Червоноградський район
С141907,Турка-Присліп,Турка – Присліп,5.8,Самбірський район
О141606,"КПП ""Варяж""-Бояничі","КПП ""Варяж"" – Бояничі",9.0,Червоноградський район
С141751,Страшевичі-Задністря,Страшевичі – Задністря,11.4,Самбірський район
С141447,Гординя-(Калинів-Дубляни-Волоща),Гординя – О141407,3.6,Самбірський район
С140224,Топорів-Заболото,Топорів – Заболото,2.7,Золочівський район
С141650,(Белз-Великі Мости)-Куличків,О141605 – Куличків,1.5,Червоноградський район
С141220,станція Зимна Вода-Зимна Вода,станція Зимна Вода – Зимна Вода,3.1,Львівський район
С140667,Магерів-Велике Передмістя,Магерів – Велике Передмістя,2.6,Львівський район
С140227,Грабина-(Гутисько-Тур'янське-Почапи),Грабина – С140202,1.3,Золочівський район
С140647,(Львів-Рава-Руська)-Муроване,М-09 – Муроване,1.6,Львівський район
С140902,Випучки-Рудники,Випучки – Рудники,12.2,Стрийський район
С140327,Вишня-Градівка,Вишня – Градівка,7.2,Львівський район;Самбірський район
С140423,Смільна-Залокоть,Смільна – Залокоть,5.9,Дрогобицький район
С140923,Устя-Розвадів,Устя – Розвадів,3.5,Стрийський район
С141339,(Рівне-Перемишляни)-Підмонастирок,Т-18-06 – Підмонастирок,11.6,Червоноградський район
С140802,Кам'янка-Бузька-Рожанка,Кам'янка – Бузька – Рожанка,8.1,Львівський район
С141303,Вузлове-Дмитрів,Вузлове – Дмитрів,8.5,Червоноградський район
С141022,Іорданівка-Боляновичі,Іорданівка – Боляновичі,3.6,Яворівський район
С141326,Бабана-Оглядів,Бабана – Оглядів,1.6,Червоноградський район
С140529,Голешів-Луковець,Голешів – Луковець,7.8,Стрийський район
С140307,"Городок-Лісна,",Городок – Лісна,15.4,Львівський район;Яворівський район
С141237,(Пустомити-Семенівка)-Радвани,С141206 – Радвани,0.8,Львівський район
С141118,(Копань-Свірж)-Підвисоке,С141126 – Підвисоке,1.2,Львівський район
С140221,Гаївське-Заводське,Гаївське – Заводське,1.0,Золочівський район
С141824,Угільня-Сихів,Угільня – Сихів,2.9,Стрийський район
С141923,(Турка-Ільник)-Лосинець,С141904 – Лосинець,4.0,Самбірський район
С140625,Підлісся-Магерів,Підлісся – Магерів,4.9,Львівський район
С140741,Ясенівці-Залісся,Ясенівці – Залісся,2.7,Золочівський район
